iteration,start,actor,exectime
200,11708740,D1,60314
200,11708740,D2,60348
201,11783705,D1,60230
201,11780709,D2,60235
202,11865168,D1,120520
202,11867569,D2,120520
203,12021747,D1,120267
203,12021747,D2,120270
204,12142070,D1,120544
204,12142070,D2,120544
205,12262675,D1,120431
205,12262675,D2,120431
206,12383182,D1,120554
206,12383182,D2,120554
207,12503796,D1,120411
207,12503796,D2,120411
208,12624409,D1,121168
208,12624409,D2,121168
209,12745654,D1,121108
209,12745654,D2,121108
210,12866836,D1,121181
210,12866837,D2,121181
211,12988094,D1,121283
211,12988094,D2,121283
212,13200338,D1,120140
212,13200338,D2,120140
212,13200299,D3,30504
213,13410725,D1,120330
213,13410725,D2,120330
213,13320787,D3,120368
214,13533905,D1,120160
214,13533905,D2,120292
214,13532664,D3,120454
215,13661295,D1,120141
215,13660780,D2,120141
215,13659521,D3,120187
216,13789971,D1,120208
216,13789971,D2,120208
216,13789069,D3,120411
217,13914942,D1,120177
217,13914942,D2,120177
217,13913340,D3,120116
218,14042981,D1,120095
218,14042981,D2,120107
218,14041978,D3,120119
219,14170233,D1,120183
219,14169845,D2,120183
219,14169088,D3,120118
220,14296917,D1,120290
220,14296917,D2,120290
220,14296007,D3,120228
221,14434044,D1,120288
221,14434044,D2,120288
221,14429526,D3,120216
222,14560989,D1,120384
222,14560989,D2,120235
222,14556447,D3,120214
223,14692200,D1,120098
223,14688590,D2,120094
223,14683369,D3,120097
224,14812321,D1,120117
224,14808704,D2,120173
224,14806270,D3,120307
225,14932480,D1,120136
225,14932440,D2,120136
225,14930777,D3,120091
226,15059883,D1,120122
226,15059883,D2,120265
226,15059093,D3,120239
227,15185269,D1,120187
227,15184275,D2,120187
227,15182648,D3,120112
228,15313913,D1,120143
228,15313913,D2,120143
228,15312640,D3,120260
229,15438371,D1,120215
229,15438371,D2,120215
229,15437740,D3,120413
230,15564677,D1,120152
230,15564677,D2,120288
230,15564231,D3,120247
231,15691895,D1,120197
231,15691056,D2,120193
231,15689457,D3,120101
232,15820646,D1,120143
232,15820647,D2,120143
232,15819748,D3,120087
233,15947430,D1,120168
233,15947430,D2,120168
233,15946643,D3,120316
234,16072073,D1,120110
234,16072073,D2,120148
234,16071266,D3,120281
235,16198394,D1,120181
235,16197209,D2,120181
235,16195829,D3,120097
236,16325629,D1,120140
236,16325629,D2,120140
236,16324637,D3,120095
237,16451717,D1,120205
237,16451717,D2,120205
237,16451030,D3,120324
238,16575919,D1,120113
238,16575919,D2,120130
238,16575616,D3,120293
239,16702990,D1,120159
239,16701875,D2,120159
239,16700520,D3,120118
240,16829944,D1,120142
240,16829944,D2,120142
240,16829011,D3,120117
241,16955581,D1,120188
241,16955581,D2,120188
241,16954853,D3,120313
242,17080143,D1,120199
242,17080143,D2,120213
242,17079871,D3,120206
243,17223109,D1,120455
243,17218618,D2,120455
243,17214150,D3,120325
244,17347625,D1,120197
244,17347625,D2,120197
244,17341895,D3,120109
245,17467874,D1,120174
245,17467874,D2,120174
245,17462037,D3,120094
246,17590639,D1,120059
246,17590639,D2,120101
246,17590085,D3,120149
247,17720602,D1,120174
