iteration,start,actor,exectime
268,18090657,D1,120483
269,18211220,D1,120464
270,18331763,D1,120472
271,18452315,D1,120467
272,18572862,D1,120493
273,18693436,D1,120473
274,18813988,D1,120482
275,18934547,D1,120469
276,19055097,D1,120473
277,19175666,D1,120474
278,19296212,D1,120489
279,19416792,D1,120461
280,19537352,D1,120226
281,19657656,D1,120307
282,19778044,D1,120404
283,19898528,D1,120479
284,20019087,D1,120451
285,20139696,D1,120456
286,20260230,D1,120366
287,20380676,D1,120485
288,20501240,D1,120502
289,20621818,D1,120481
290,20742376,D1,120471
291,20862901,D1,120437
292,20983416,D1,120472
293,21103969,D1,120467
294,21224517,D1,120464
295,21345058,D1,120458
296,21465592,D1,120483
297,21586149,D1,120418
298,21706642,D1,120478
299,21827196,D1,120455
300,21947727,D1,120463
301,22068265,D1,120470
302,22188811,D1,120523
303,22309411,D1,120222
304,22429703,D1,120320
305,22550099,D1,120478
306,22670658,D1,120472
307,22791211,D1,120468
308,22911789,D1,120462
309,23032330,D1,120463
310,23152873,D1,120350
311,23273331,D1,120402
312,23393811,D1,120233
313,23514120,D1,120494
314,23634709,D1,120437
315,23755226,D1,120467
316,23875771,D1,120468
317,23996321,D1,120487
318,24116888,D1,120465
319,24237433,D1,120482
320,24357994,D1,120480
321,24478554,D1,120497
322,24599130,D1,120482
323,24719693,D1,120468
324,24840242,D1,120465
325,24960786,D1,120370
326,25081253,D1,120267
327,25201602,D1,120201
328,25321883,D1,120474
329,25442436,D1,120433
330,25562948,D1,120448
331,25683475,D1,120460
332,25804015,D1,120482
333,25924577,D1,120470
334,26045126,D1,120488
335,26165693,D1,120310
336,26286083,D1,120471
337,26406634,D1,120480
338,26527194,D1,120489
339,26647763,D1,120481
340,26768323,D1,120464
341,26888869,D1,120440
342,27009389,D1,120228
343,27129697,D1,120473
344,27250232,D1,120504
345,27370815,D1,120476
346,27491372,D1,120486
347,27611937,D1,120478
348,27732496,D1,120489
349,27853066,D1,120475
350,27973621,D1,120395
351,28094095,D1,120476
352,28214649,D1,120448
353,28335177,D1,120454
354,28455711,D1,120468
355,28576260,D1,120462
356,28696802,D1,120333
357,28817215,D1,120513
358,28937808,D1,120465
359,29058352,D1,120480
360,29178911,D1,120464
361,29299453,D1,120455
362,29419986,D1,120468
363,29540534,D1,120485
364,29661098,D1,120478
365,29781656,D1,120391
366,29902126,D1,120478
367,30022684,D1,120437
368,30143202,D1,120470
369,30263751,D1,120481
370,30384327,D1,120465
371,30504874,D1,120393
372,30625376,D1,120491
