it,start,end,latency,sol,period
179,7508826,8849501,1340675,1,60934
180,7551532,8908227,1356695,1,58946
181,7594412,8970134,1375722,1,61610
182,7637072,9030812,1393740,1,60771
183,7678045,9090949,1412904,1,60200
184,7720587,9151567,1430980,1,60576
185,7763339,9212285,1448946,1,60703
186,7804480,9271244,1466764,1,59133
187,7847074,9332773,1485699,1,61289
188,7889816,9393559,1503743,1,60836
189,7932323,9452148,1519825,1,58813
190,7973790,9514169,1540379,1,61700
191,8016518,9574247,1557729,1,60240
192,8059222,9634840,1575618,1,60557
193,8101895,9695494,1593599,1,60644
194,8142865,9755340,1612475,1,59925
195,8185039,9814788,1629749,1,59495
196,8226032,9874894,1648862,1,60044
197,8268676,9935369,1666693,1,60431
198,8309674,9995864,1686190,1,60488
199,8351982,10057099,1705117,1,61160
200,8392718,10116937,1724219,1,59970
201,8434064,10177135,1743071,1,60175
202,8476772,10299493,1822721,1,116139
203,8519524,10419101,1899577,1,119261
204,8562330,10540394,1978064,1,121089
205,8605014,10660121,2055107,1,119863
206,8646114,10780834,2134720,1,120628
207,8688582,10901519,2212937,1,120679
208,8729608,11021770,2292162,1,120293
209,8771252,11142395,2371143,1,120591
210,8813871,11262876,2449005,1,120492
211,8856693,11383920,2527227,1,120988
212,8899357,11504187,2604830,1,120339
213,8940848,11624906,2684058,1,120681
214,8983788,11745822,2762034,1,120892
215,9039752,11866033,2826281,1,120279
216,9100435,11986487,2886052,1,120436
217,9161002,12107195,2946193,1,120680
218,9221643,12227772,3006129,1,120587
219,9274494,12348486,3073992,1,120701
220,9342159,12469169,3127010,1,120684
221,9402865,12589276,3186411,1,120164
222,9455130,12709217,3254087,1,119963
223,9523318,12829325,3306007,1,120093
224,9583731,12949881,3366150,1,120509
225,9644331,13070762,3426431,1,120843
226,9704859,13191860,3487001,1,121072
227,9765526,13312323,3546797,1,120523
228,9821541,13432473,3610932,1,120187
229,9878845,13553063,3674218,1,120549
230,9941388,13673189,3731801,1,120168
231,10000471,13794662,3794191,1,121342
232,10062037,13914864,3852827,1,120316
233,10122004,14035338,3913334,1,120458
234,10180962,14156053,3975091,1,120689
235,10308874,14276196,3967322,1,120197
236,10429358,14397156,3967798,1,120883
237,10549870,14517887,3968017,1,120746
238,10665119,14638274,3973155,1,120422
239,10790973,14758233,3967260,1,120005
240,10911503,14879462,3967959,1,121106
241,11032005,14999130,3967125,1,119811
242,11152664,15119831,3967167,1,120612
243,11267246,15240805,3973559,1,120937
244,11393577,15361337,3967760,1,120572
245,11514189,15481547,3967358,1,120246
246,11635356,15602056,3966700,1,120482
247,11748015,15723186,3975171,1,121065
248,11875977,15843328,3967351,1,120234
249,11996418,15963840,3967422,1,120484
250,12117134,16084547,3967413,1,120684
251,12230218,16205282,3975064,1,120729
252,12358141,16325546,3967405,1,120310
253,12478787,16446339,3967552,1,120744
254,12599304,16567186,3967882,1,120836
255,12719728,16687529,3967801,1,120392
256,12834641,16808180,3973539,1,120625
257,12960312,16927856,3967544,1,119770
258,13081022,17049159,3968137,1,121149
259,13201392,17169704,3968312,1,120605
260,13321718,17289305,3967587,1,119701
261,13442394,17410172,3967778,1,120750
262,13555291,17530545,3975254,1,120410
263,13683626,17651477,3967851,1,120879
264,13804656,17771794,3967138,1,120373
265,13924890,17892421,3967531,1,120601
266,14045511,18013115,3967604,1,120684
267,14160248,18133730,3973482,1,120621
268,14286585,18254097,3967512,1,120392
269,14406817,18374707,3967890,1,120588
270,14527550,18495544,3967994,1,120812
271,14641687,18615874,3974187,1,120378
272,14768673,18736369,3967696,1,120483
273,14889148,18857025,3967877,1,120638
274,15008877,18977155,3968278,1,120180
275,15123438,19097497,3974059,1,120325
276,15250857,19218682,3967825,1,121099
277,15371697,19339252,3967555,1,120622
278,15491601,19459076,3967475,1,119903
279,15606412,19579738,3973326,1,120586
280,15732714,19700518,3967804,1,120760
281,15853767,19820756,3966989,1,120290
282,15973534,19941218,3967684,1,120444
283,16088786,20061998,3973212,1,120746
284,16214831,20181502,3966671,1,119628
285,16335359,20303471,3968112,1,121734
286,16454783,20423753,3968970,1,120427
287,16576141,20544488,3968347,1,120704
288,16691336,20664822,3973486,1,120371
289,16816677,20785218,3968541,1,120393
290,16936911,20904369,3967458,1,119275
291,17058362,21025840,3967478,1,121251
292,17173533,21146328,3972795,1,120564
293,17299467,21266687,3967220,1,120379
294,17420296,21387399,3967103,1,120678
295,17540750,21508061,3967311,1,120663
296,17661557,21628819,3967262,1,120748
297,17782097,21749095,3966998,1,120323
298,17895736,21869886,3974150,1,120744
299,18022729,21990630,3967901,1,120744
300,18143447,22111159,3967712,1,120550
301,18264052,22231234,3967182,1,120122
302,18378654,22352269,3973615,1,120943
303,18505109,22471867,3966758,1,119732
304,18625764,22592463,3966699,1,120509
305,18745944,22713556,3967612,1,121034
306,18859275,22834330,3975055,1,120800
307,18986549,22954338,3967789,1,120087
308,19107720,23074773,3967053,1,120400
309,19227848,23196143,3968295,1,121273
310,19348477,23315796,3967319,1,119815
311,19463882,23436594,3972712,1,120699
312,19589429,23556789,3967360,1,120245
313,19710735,23677799,3967064,1,120933
314,19824008,23798285,3974277,1,120530
315,19945544,23918547,3973003,1,120288
316,20072084,24038571,3966487,1,120050
317,20191764,24159976,3968212,1,121269
318,20313338,24280392,3967054,1,120501
319,20427101,24401044,3973943,1,120636
320,20553803,24521507,3967704,1,120480
321,20673945,24642078,3968133,1,120561
322,20794293,24762056,3967763,1,120036
323,20911455,24882674,3971219,1,120559
324,21030640,25003086,3972446,1,120426
325,21156557,25123680,3967123,1,120577
326,21277713,25244626,3966913,1,120909
327,21397568,25365054,3967486,1,120476
328,21511541,25485239,3973698,1,120214
329,21638254,25605173,3966919,1,119962
330,21758408,25725769,3967361,1,120532
331,21878914,25846941,3968027,1,121108
332,21999465,25967773,3968308,1,120859
333,22120310,26087685,3967375,1,120006
334,22234938,26208101,3973163,1,120375
335,22361010,26328487,3967477,1,120384
336,22481802,26448962,3967160,1,120465
337,22602033,26569443,3967410,1,120479
338,22723078,26690767,3967689,1,121239
339,22837442,26811075,3973633,1,120401
340,22963639,26931580,3967941,1,120494
341,23085621,27051888,3966267,1,120326
342,23205140,27172705,3967565,1,120767
343,23319501,27292413,3972912,1,119813
344,23446071,27413564,3967493,1,121017
345,23566641,27534181,3967540,1,120657
346,23687301,27654238,3966937,1,120117
347,23807685,27775688,3968003,1,121316
348,23923282,27896056,3972774,1,120462
349,24049458,28016740,3967282,1,120661
350,24170012,28136563,3966551,1,119906
351,24290540,28257394,3966854,1,120738
352,24403742,28377737,3973995,1,120382
353,24531624,28498115,3966491,1,120378
354,24652436,28618557,3966121,1,120435
355,24772884,28739515,3966631,1,120905
356,24893437,28860034,3966597,1,120557
357,25014124,28980296,3966172,1,120291
358,25126846,29101366,3974520,1,120992
359,25255084,29221862,3966778,1,120545
360,25375122,29342177,3967055,1,120338
361,25495725,29462688,3966963,1,120493
362,25615676,29583749,3968073,1,121004
363,25730831,29703385,3972554,1,119772
364,25857375,29824792,3967417,1,121243
365,25977641,29945261,3967620,1,120546
366,26098315,30065710,3967395,1,120458
367,26211792,30185553,3973761,1,119904
368,26339184,30306009,3966825,1,120400
369,26459841,30426604,3966763,1,120575
370,26580488,30547238,3966750,1,120628
371,26701012,30668046,3967034,1,120790
372,26813350,30788478,3975128,1,120467
373,26942123,30908812,3966689,1,120347
374,27062627,31029501,3966874,1,120654
375,27182886,31150288,3967402,1,120773
376,27302418,31270691,3968273,1,120440
377,27417817,31391373,3973556,1,120657
378,27544608,31511713,3967105,1,120371
379,27665367,31632231,3966864,1,120503
380,27785575,31752976,3967401,1,120720
381,27906075,31873606,3967531,1,120639
382,28026453,31993750,3967297,1,120193
383,28141525,32114989,3973464,1,121134
384,28267433,32235186,3967753,1,120290
385,28388398,32355779,3967381,1,120562
386,28508485,32476705,3968220,1,120889
387,28621547,32596254,3974707,1,119683
388,28749669,32716827,3967158,1,120484
389,28870106,32838210,3968104,1,121293
390,28990684,32957998,3967314,1,119938
391,29111330,33078642,3967312,1,120573
392,29231939,33200054,3968115,1,121328
393,29352548,33320666,3968118,1,120683
394,29466489,33441219,3974730,1,120566
395,29593663,33561032,3967369,1,119888
396,29714236,33681386,3967150,1,120307
397,29834721,33801800,3967079,1,120403
398,29955154,33923034,3967880,1,121150
399,30067826,34043109,3975283,1,120182
400,30196395,34164011,3967616,1,120830
401,30316978,34284334,3967356,1,120373
402,30437734,34404999,3967265,1,120635
403,30557602,34524608,3967006,1,119711
404,30678499,34646031,3967532,1,121251
405,30799124,34766623,3967499,1,120657
406,30912994,34886624,3973630,1,120066
407,31040105,35007322,3967217,1,120634
408,31160714,35127728,3967014,1,120428
409,31281290,35249010,3967720,1,121196
410,31395419,35368818,3973399,1,119946
411,31522421,35489659,3967238,1,120751
412,31643030,35610044,3967014,1,120421
413,31763541,35730089,3966548,1,120082
414,31876357,35850950,3974593,1,120783
415,32004837,35971645,3966808,1,120703
416,32125075,36091507,3966432,1,119946
417,32245775,36212652,3966877,1,121025
418,32365533,36333209,3967676,1,120603
419,32480264,36454306,3974042,1,121047
420,32607373,36574517,3967144,1,120294
421,32727903,36695367,3967464,1,120794
422,32848277,36815687,3967410,1,120367
423,32962592,36936467,3973875,1,120738
424,33089381,37057334,3967953,1,120854
425,33210017,37177676,3967659,1,120393
426,33330568,37298015,3967447,1,120344
427,33443652,37418494,3974842,1,120465
428,33571755,37538461,3966706,1,120016
429,33691844,37659207,3967363,1,120673
430,33812380,37780167,3967787,1,120931
431,33932953,37900300,3967347,1,120212
432,34045545,38020637,3975092,1,120324
433,34173743,38141135,3967392,1,120480
434,34294302,38262225,3967923,1,121029
435,34414744,38382633,3967889,1,120470
436,34534384,38503298,3968914,1,120645
437,34650044,38623662,3973618,1,120392
438,34776260,38744239,3967979,1,120558
439,34896728,38864530,3967802,1,120317
440,35017269,38985514,3968245,1,120917
441,35137990,39105107,3967117,1,119725
442,35251520,39226668,3975148,1,121377
443,35378950,39347242,3968292,1,120654
444,35499486,39467620,3968134,1,120405
445,35620147,39587103,3966956,1,119575
446,35738845,39707893,3969048,1,120668
447,35854335,39828582,3974247,1,120686
448,35981422,39949284,3967862,1,120700
449,36101046,40070610,3969564,1,121263
450,36222490,40190276,3967786,1,119825
451,36337491,40310999,3973508,1,120633
452,36463569,40431584,3968015,1,120589
453,36583857,40552067,3968210,1,120493
454,36704107,40672571,3968464,1,120502
455,36818946,40793573,3974627,1,120952
456,36944905,40913848,3968943,1,120342
457,37065695,41034507,3968812,1,120627
458,37185795,41155019,3969224,1,120523
459,37301921,41275919,3973998,1,120862
460,37426677,41396208,3969531,1,120346
461,37546726,41516668,3969942,1,120448
462,37667754,41636540,3968786,1,119929
463,37784070,41757134,3973064,1,120527
464,37908717,41877597,3968880,1,120469
465,38029271,41998305,3969034,1,120684
466,38149769,42118933,3969164,1,120633
467,38266689,42239451,3972762,1,120529
468,38391501,42360224,3968723,1,120748
469,38511629,42481309,3969680,1,121051
470,38633229,42601279,3968050,1,120078
471,38747395,42721697,3974302,1,120384
472,38874030,42842580,3968550,1,120833
473,38994271,42962468,3968197,1,119982
474,39114223,43083615,3969392,1,121030
475,39229452,43204050,3974598,1,120494
476,39355086,43324959,3969873,1,120867
477,39475871,43445212,3969341,1,120314
478,39596262,43564819,3968557,1,119677
479,39712523,43685562,3973039,1,120636
480,39838054,43806133,3968079,1,120577
481,39958673,43927617,3968944,1,121393
482,40079857,44048235,3968378,1,120695
483,40195039,44167912,3972873,1,119778
484,40320300,44288346,3968046,1,120368
485,40440984,44408952,3967968,1,120582
486,40561994,44529495,3967501,1,120546
487,40675518,44650125,3974607,1,120621
488,40803126,44770883,3967757,1,120744
489,40923538,44891122,3967584,1,120289
490,41044161,45012261,3968100,1,121054
491,41164891,45132484,3967593,1,120306
492,41284680,45253153,3968473,1,120632
493,41398905,45373644,3974739,1,120505
494,41525607,45493597,3967990,1,120008
495,41646206,45614772,3968566,1,121058
496,41766617,45734581,3967964,1,119933
497,41883146,45854962,3971816,1,120336
498,42007548,45975783,3968235,1,120772
499,42128212,46097249,3969037,1,121396
500,42248693,46216918,3968225,1,119841
