it,start,end,latency,sol,period
180,9992226,10200809,208583,2,84961
181,10077856,10284297,206441,2,83635
182,10161370,10368752,207382,2,84373
183,10244828,10451963,207135,2,83327
184,10328006,10534386,206380,2,82513
185,10410619,10618790,208171,2,84214
186,10494070,10703850,209780,2,84975
187,10578030,10787262,209232,2,83568
188,10661650,10870944,209294,2,83670
189,10745117,10955934,210817,2,84858
190,10829011,11039543,210532,2,83733
191,10914167,11123899,209732,2,84293
192,10997573,11208776,211203,2,84818
193,11083198,11292808,209610,2,84110
194,11168255,11376641,208386,2,83860
195,11251730,11461549,209819,2,84803
196,11335163,11545383,210220,2,83930
197,11420271,11629531,209260,2,84126
198,11503680,11714634,210954,2,85005
199,11589312,11798737,209425,2,84193
200,11672881,11882454,209573,2,83764
201,11756411,11967709,211298,2,85105
202,11840229,12106174,265945,2,133129
203,11925434,12226407,300973,2,121522
204,12009537,12346299,336762,2,120055
205,12095387,12467716,372329,2,121280
206,12181061,12588919,407858,2,121210
207,12264804,12708997,444193,2,120191
208,12348281,12832373,484092,2,123057
209,12433400,12953066,519666,2,120929
210,12517362,13073914,556552,2,120856
211,12603521,13195111,591590,2,121162
212,13200304,13534998,334694,3,318014
213,13324889,13660789,335900,3,145013
214,13449138,13787149,338011,3,128225
215,13575322,13915772,340450,3,128583
216,13703884,14045167,341283,3,129313
217,13828754,14171819,343065,3,126918
218,13956722,14298076,341354,3,126323
219,14083585,14424765,341180,3,126652
220,14210335,14560646,350311,3,134958
221,14336553,14688578,352025,3,128634
222,14464688,14816664,351976,3,128140
223,14592665,14943084,350419,3,126592
224,14721137,15066565,345428,3,123792
225,14846140,15191929,345789,3,125206
226,14974250,15316664,342414,3,124782
227,15099334,15440999,341665,3,124379
228,15227794,15567419,339625,3,126215
229,15354443,15693001,338558,3,125645
230,15479482,15818747,339265,3,125735
231,15605880,15947719,341839,3,128648
232,15734435,16073404,338969,3,125981
233,15861302,16198024,336722,3,124756
234,15986376,16324714,338338,3,126496
235,16112697,16451708,339011,3,126944
236,16239539,16578062,338523,3,126413
237,16365995,16702947,336952,3,125037
238,16490848,16828418,337570,3,125427
239,16617178,16955707,338529,3,127102
240,16743804,17081436,337632,3,125866
241,16869211,17208269,339058,3,126736
242,16994410,17348033,353623,3,138461
243,17122768,17472868,350100,3,126197
244,17251163,17597011,345848,3,124348
245,17377712,17722661,344949,3,125519
246,17504269,17847029,342760,3,124483
247,17630742,17972637,341895,3,125495
248,17756982,18098594,341612,3,125910
249,17883629,18224648,341019,3,126039
250,18010119,18351071,340952,3,126384
251,18135303,18480345,345042,3,128985
252,18263763,18605874,342111,3,125874
253,18389822,18739378,349556,3,132741
254,18517517,18865778,348261,3,127034
255,18643903,18994830,350927,3,128850
256,18772435,19119706,347271,3,125273
257,18898918,19246038,347120,3,126226
258,19027029,19372704,345675,3,126622
259,19153612,19501952,348340,3,128985
260,19280341,19628393,348052,3,126695
261,19408351,19756018,347667,3,127532
262,19536291,19880408,344117,3,124704
263,19662817,20008091,345274,3,127385
264,19788846,20132340,343494,3,124562
265,19915340,20257961,342621,3,125515
266,20040843,20382362,341519,3,124512
267,20167526,20507947,340421,3,125477
268,20293720,20636019,342299,3,127812
269,20420435,20764690,344255,3,128585
270,20546458,20889302,342844,3,125009
271,20673029,21013325,340296,3,124121
272,20799571,21139306,339735,3,125795
273,20925850,21265680,339830,3,126316
274,21050613,21400093,349480,3,133603
275,21177825,21524666,346841,3,125476
276,21305781,21650022,344241,3,125368
277,21432057,21776237,344180,3,126130
278,21557825,21903944,346119,3,127549
279,21683534,22029359,345825,3,125628
280,21810897,22155201,344304,3,125820
281,21938045,22281452,343407,3,126207
