it,start,end,latency,sol,period
1,0,1899324,1899324,2,608719
2,79394,2508043,2428649,2,608719
3,199388,3084146,2884758,2,598934
4,367389,3616151,3248762,2,578855
5,563389,4142488,3579099,2,563099
6,847389,4687818,3840429,2,557768
7,1147395,5203232,4055837,2,545062
8,1514208,5781063,4266855,2,554893
9,1839390,6324141,4484751,2,551348
10,2195388,6807179,4611791,2,530855
11,2621055,7416223,4795168,2,554311
12,3166372,7938053,4771681,2,544567
13,3708155,8496096,4787941,2,548610
14,4249451,9014300,4764849,2,539488
15,4792066,9584142,4792076,2,548594
16,5334370,10096318,4761948,2,537668
17,5894497,10647686,4753189,2,541778
18,6423629,11196220,4772591,2,543805
19,6964483,11706998,4742515,2,533897
20,7502375,12263054,4760679,2,540544
21,8044643,12831708,4787065,2,548977
22,8595360,13376730,4781370,2,547790
23,9146970,13904575,4757605,2,541807
24,9674370,14476096,4801726,2,550721
25,10214374,14938557,4724183,2,524243
26,10752585,15552157,4799572,2,551050
27,11322372,16084168,4761796,2,545338
28,11838375,16585298,4746923,2,532075
29,12399519,17168186,4768667,2,547319
30,12942437,17712146,4769709,2,546311
31,13462586,18248579,4785993,2,543348
32,14027089,18727286,4700197,2,523955
33,14567267,19290058,4722791,2,535600
34,15089926,19891628,4801702,2,555391
35,15634371,20410505,4776134,2,544437
36,16202372,20922326,4719954,2,534652
37,16732168,21500587,4768419,2,547734
38,17261072,22013175,4752103,2,537190
39,17797732,22600199,4802467,2,552140
40,18363722,23140109,4776387,2,548471
41,18879016,23680143,4801127,2,545940
42,19434371,24210170,4775799,2,541166
43,19974370,24749870,4775500,2,540726
44,20534859,25277173,4742314,2,536699
45,21051660,25848660,4797000,2,547135
46,21595079,26353491,4758412,2,534444
47,22154163,26933463,4779300,2,548102
48,22686152,27455243,4769091,2,540205
49,23242844,27999000,4756156,2,541271
50,23766372,28544134,4777762,2,542430
51,24326369,29072150,4745781,2,538105
52,24850376,29625903,4775527,2,542799
53,25387013,30166945,4779932,2,542272
54,25954518,30718303,4763785,2,544998
55,26472963,31272165,4799202,2,547657
56,27014469,31807605,4793136,2,543992
57,27575949,32338558,4762609,2,540080
58,28098374,32892562,4794188,2,544257
59,28646371,33422496,4776125,2,539960
60,29181894,33969085,4787191,2,541949
61,29732339,34520535,4788196,2,544799
62,30269033,35064159,4795126,2,544446
63,30806378,35603564,4797186,2,542934
64,31332858,36141378,4808520,2,541398
65,31918370,36688654,4770284,2,543161
66,32462370,37225701,4763331,2,541327
67,32975079,37753897,4778818,2,537387
68,33523045,38302570,4779525,2,540773
69,34087369,38830912,4743543,2,537043
70,34626523,39387134,4760611,2,542797
71,35143216,39910687,4767471,2,537024
72,35710499,40473330,4762831,2,544709
73,36250852,41032521,4781669,2,549054
74,36791575,41550081,4758506,2,539605
75,37327669,42112449,4784780,2,546434
76,37862383,42627200,4764817,2,536929
77,38397470,43194091,4796621,2,545917
78,38970838,43735667,4764829,2,544615
79,39496146,44275638,4779492,2,543222
80,40040255,44819343,4779088,2,543366
81,40566370,45364456,4798086,2,543890
82,41115228,45894316,4779088,2,539681
83,41654375,46432175,4777800,2,539134
84,42196374,46987072,4790698,2,543863
85,42758375,47536859,4778484,2,545640
86,43302809,48080148,4777339,2,544935
87,43832153,48619568,4787415,2,543280
88,44368058,49164148,4796090,2,543670
89,44911505,49708150,4796645,2,543769
90,45441498,50235956,4794458,2,538980
91,45986375,50773130,4786755,2,538438
92,46527139,51314350,4787211,2,539273
93,47074460,51852415,4777955,2,538910
94,47604752,52345106,4740354,2,525044
95,48156966,52842912,4685946,2,516873
96,48700162,53358941,4658779,2,516619
97,49238374,53879675,4641301,2,517854
98,49795074,54282094,4487020,2,483223
99,50320707,54523304,4202597,2,410619
100,50856683,54678658,3821975,2,334039
