it,start,end,latency,sol,period
1,0,21348453,21348453,2,8493499
2,117882,29841952,29724070,2,8493499
3,343797,37765633,37421836,2,8322553
4,653228,44818433,44165205,2,7941627
5,1218633,51095552,49876919,2,7442274
6,1902778,56508782,54606004,2,6833561
7,2651798,61029001,58377203,2,6139558
8,3383638,64338143,60954505,2,5290433
9,4199427,66565576,62366149,2,4371533
10,5186397,68797753,63611356,2,3729726
11,6298851,70849801,64550950,2,3226422
12,7543379,72898883,65355504,2,2873220
13,8920317,74927419,66007102,2,2619815
14,10359056,77028440,66669384,2,2464176
15,12144182,78866266,66722084,2,2276271
16,14311800,80753521,66441721,2,2159566
17,16236521,82635181,66398660,2,2076194
18,18147797,84519243,66371446,2,2018554
19,20101145,86227014,66125869,2,1925319
20,21934978,87961241,66026263,2,1867991
21,23966880,89662455,65695575,2,1817958
22,25787712,91341808,65554096,2,1776376
23,27565797,92876937,65311140,2,1704002
24,29300763,94413456,65112693,2,1653757
25,30950223,95951189,65000966,2,1618950
26,32795797,97479774,64683977,2,1591840
27,34627797,98845588,64217791,2,1524032
28,36093473,100212293,64118820,2,1476834
29,37564210,101576939,64012729,2,1443177
30,39074879,102781126,63706247,2,1371480
31,40767799,103971900,63204101,2,1317268
32,42189236,105164767,62975531,2,1279948
33,43611395,106355183,62743788,2,1253088
34,44966336,107373977,62407641,2,1182800
35,46370132,108387438,62017306,2,1131998
36,47685866,109396820,61710954,2,1095213
37,48935315,110413491,61478176,2,1071650
38,50299797,111258600,60958803,2,1003688
39,51413835,112101905,60688070,2,955573
40,52663797,112947097,60283300,2,922458
41,53755410,113787985,60032575,2,897987
42,54903797,114453895,59550098,2,828364
43,55839478,115119111,59279633,2,779419
44,56835161,115787002,58951841,2,745961
45,57909787,116459676,58549889,2,723975
46,58895797,116955211,58059414,2,655443
47,59744322,117450574,57706252,2,607419
48,60487331,117947747,57460416,2,574345
49,61307797,118441544,57133747,2,550180
50,62074818,118868905,56794087,2,513334
