it,start,end,latency,sol
1,0,86953,86953,1
2,14543,127565,113022,1
3,25028,168240,143212,1
4,35512,208956,173444,1
5,56101,249554,193453,1
6,96954,289761,192807,1
7,137650,330002,192352,1
8,178351,370072,191721,1
9,219035,410459,191424,1
10,259353,450684,191331,1
11,299613,490729,191116,1
12,339719,530849,191130,1
13,380077,570949,190872,1
14,420357,611519,191162,1
15,460426,651885,191459,1
16,500550,692219,191669,1
17,540585,732429,191844,1
18,580646,772626,191980,1
19,621527,812742,191215,1
20,661801,852882,191081,1
21,702083,893008,190925,1
22,742306,933066,190760,1
23,782389,973161,190772,1
24,822540,1013278,190738,1
25,862629,1053377,190748,1
26,902752,1093404,190652,1
27,942858,1133773,190915,1
28,982903,1173874,190971,1
29,1023053,1214396,191343,1
30,1063126,1254689,191563,1
31,1103352,1294988,191636,1
32,1143542,1335377,191835,1
33,1183640,1375633,191993,1
34,1224353,1415880,191527,1
35,1264583,1455972,191389,1
36,1304928,1496057,191129,1
37,1345242,1536140,190898,1
38,1385479,1576252,190773,1
39,1425618,1616385,190767,1
40,1465743,1656473,190730,1
41,1505797,1696544,190747,1
42,1545900,1736626,190726,1
43,1586007,1776741,190734,1
44,1626126,1817425,191299,1
45,1666205,1857801,191596,1
46,1706307,1898115,191808,1
47,1746383,1938285,191902,1
48,1786499,1978458,191959,1
49,1827400,2018526,191126,1
50,1867793,2058677,190884,1
51,1908000,2098940,190940,1
52,1948131,2139065,190934,1
53,1988209,2179287,191078,1
54,2028331,2219494,191163,1
55,2068579,2259651,191072,1
56,2108692,2299961,191269,1
57,2148798,2340219,191421,1
58,2189113,2380369,191256,1
59,2229278,2421077,191799,1
60,2269549,2461406,191857,1
61,2309859,2501724,191865,1
62,2349993,2541998,192005,1
63,2390153,2582044,191891,1
64,2431049,2622268,191219,1
65,2471389,2662351,190962,1
66,2511639,2702458,190819,1
67,2551746,2742506,190760,1
68,2591952,2782554,190602,1
69,2632041,2822661,190620,1
70,2672118,2862678,190560,1
71,2712191,2902914,190723,1
72,2752272,2942877,190605,1
73,2792361,2983067,190706,1
74,2832419,3023691,191272,1
75,2872490,3063917,191427,1
76,2912596,3104193,191597,1
77,2952670,3144409,191739,1
78,2992829,3184490,191661,1
79,3033574,3224785,191211,1
80,3073829,3264962,191133,1
81,3114061,3305063,191002,1
82,3154143,3345095,190952,1
83,3194361,3385264,190903,1
84,3234605,3425400,190795,1
85,3274700,3465511,190811,1
86,3314791,3505526,190735,1
87,3354881,3545623,190742,1
88,3395079,3585674,190595,1
89,3435154,3626114,190960,1
90,3475228,3666284,191056,1
91,3515301,3706324,191023,1
92,3555375,3746377,191002,1
93,3595476,3786476,191000,1
94,3635981,3826579,190598,1
95,3676007,3866646,190639,1
96,3716080,3906691,190611,1
97,3756154,3946834,190680,1
98,3796231,3986869,190638,1
99,3836333,4027025,190692,1
100,3876383,4067117,190734,1
101,3916484,4107170,190686,1
102,3956562,4147246,190684,1
103,3996675,4187370,190695,1
104,4036763,4227906,191143,1
105,4076860,4268097,191237,1
106,4116918,4308368,191450,1
107,4157008,4348605,191597,1
108,4197166,4388720,191554,1
109,4237778,4428889,191111,1
110,4278011,4468920,190909,1
111,4318246,4509031,190785,1
112,4358328,4549163,190835,1
113,4398503,4589272,190769,1
114,4438592,4629414,190822,1
115,4478681,4669493,190812,1
116,4518848,4709578,190730,1
117,4558905,4749631,190726,1
118,4599082,4789641,190559,1
119,4639148,4830224,191076,1
120,4679258,4870397,191139,1
121,4719303,4910618,191315,1
122,4759376,4950860,191484,1
123,4799452,4991010,191558,1
124,4840071,5032084,192013,1
125,4880304,5073226,192922,1
126,4920521,5114037,193516,1
127,4960595,5154871,194276,1
128,5000824,5195530,194706,1
129,5042407,5235742,193335,1
130,5236473,5360619,124146,1
131,5246379,5401731,155352,1
132,5256807,5443040,186233,1
133,5267323,5484008,216685,1
134,5289390,5524975,235585,1
135,5329710,5566032,236322,1
136,5370764,5607060,236296,1
137,5411951,5647931,235980,1
138,5453120,5688824,235704,1
139,5494127,5729760,235633,1
140,5535133,5770704,235571,1
141,5576050,5811672,235622,1
142,5617027,5852591,235564,1
143,5657938,5893483,235545,1
144,5698822,5934361,235539,1
