it,start,end,latency,sol,period
1,0,77772,77772,1,51550
2,11563,129322,117759,1,51550
3,21788,181219,159431,1,51654
4,32479,230896,198417,1,51060
5,42605,280439,237834,1,50605
6,52862,329832,276970,1,50241
7,63002,379306,316304,1,50011
8,73522,428743,355221,1,49839
9,83695,478046,394351,1,49678
10,118898,527534,408636,1,49621
11,170708,576895,406187,1,49543
12,220503,627326,406823,1,49809
13,270057,677018,406961,1,49774
14,319457,726841,407384,1,49788
15,368910,776970,408060,1,49890
16,418366,826661,408295,1,49830
17,467694,876033,408339,1,49693
18,517125,925359,408234,1,49583
19,566518,975103,408585,1,49631
20,616959,1024715,407756,1,49625
21,666629,1074101,407472,1,49553
22,716558,1123530,406972,1,49516
23,766596,1172951,406355,1,49487
24,816280,1223237,406957,1,49727
25,865676,1273112,407436,1,49771
26,915010,1322886,407876,1,49772
27,964685,1372945,408260,1,49858
28,1014333,1422603,408270,1,49798
29,1063754,1471923,408169,1,49654
30,1113165,1521342,408177,1,49584
31,1162587,1570750,408163,1,49531
32,1212878,1620222,407344,1,49513
33,1262703,1669576,406873,1,49465
34,1312550,1718922,406372,1,49429
35,1362560,1768458,405898,1,49461
36,1412224,1818655,406431,1,49682
37,1461593,1868254,406661,1,49657
38,1510957,1917880,406923,1,49647
39,1560384,1967940,407556,1,49771
40,1609830,2017745,407915,1,49781
41,1659197,2067196,407999,1,49682
42,1708621,2116714,408093,1,49633
43,1758134,2166105,407971,1,49560
44,1808188,2215491,407303,1,49508
45,1857846,2264932,407086,1,49487
46,1907557,2314310,406753,1,49454
47,1957575,2363746,406171,1,49449
48,2007457,2413718,406261,1,49606
49,2056890,2463552,406662,1,49674
50,2106301,2512823,406522,1,49553
51,2155696,2562338,406642,1,49541
52,2205093,2611759,406666,1,49505
53,2254522,2661110,406588,1,49459
54,2303962,2710448,406486,1,49422
55,2353365,2759907,406542,1,49433
56,2403206,2809284,406078,1,49416
57,2453175,2858734,405559,1,49426
58,2502493,2908236,405743,1,49449
