it,start,end,latency,sol,period
1,0,80720,80720,1,50658
2,14061,131378,117317,1,50658
3,24833,181985,157152,1,50642
4,35167,232652,197485,1,50649
5,45491,281803,236312,1,50200
6,55795,331031,275236,1,49908
7,66056,380356,314300,1,49733
8,76256,429580,353324,1,49580
9,86388,478726,392338,1,49450
10,121105,527936,406831,1,49378
11,171776,577093,405317,1,49311
12,222428,627265,404837,1,49569
13,271581,676412,404831,1,49443
14,320783,725494,404711,1,49334
15,370134,774675,404541,1,49288
16,419398,823832,404434,1,49249
17,468496,872937,404441,1,49205
18,517718,922107,404389,1,49195
19,566890,971304,404414,1,49195
20,617032,1020681,403649,1,49250
21,666192,1072963,406771,1,50159
22,715276,1123483,408207,1,50267
23,764461,1173588,409127,1,50218
24,813608,1224087,410479,1,50302
25,862740,1273895,411155,1,50154
26,911877,1323542,411665,1,50002
27,961078,1373263,412185,1,49917
28,1010469,1422964,412495,1,49852
29,1062042,1472412,410370,1,49731
30,1472934,1548969,76035,1,57779
31,1482848,1599681,116833,1,55658
32,1493231,1650146,156915,1,54100
33,1503574,1699285,195711,1,52612
34,1514102,1748055,233953,1,51459
35,1524297,1796833,272536,1,50655
36,1534357,1846696,312339,1,50417
37,1544605,1895535,350930,1,49943
38,1554752,1944355,389603,1,49606
39,1589471,1993133,403662,1,49358
40,1639950,2041660,401710,1,49108
