it,start,end,latency,sol,period
1,0,103647,103647,1,51235
2,14914,154882,139968,1,51235
3,25195,207059,181864,1,51517
4,35644,258647,223003,1,51538
5,45952,309488,263536,1,51329
6,56300,360488,304188,1,51230
7,66490,411415,344925,1,51139
8,76769,462231,385462,1,51042
9,87073,513072,425999,1,50982
10,123843,564019,440176,1,50971
11,176010,615324,439314,1,51071
12,228117,666943,438826,1,51235
13,279031,718246,439215,1,51255
14,329980,769178,439198,1,51158
15,380889,820188,439299,1,51114
16,431748,871262,439514,1,51102
17,482568,922328,439760,1,51091
18,533523,973140,439617,1,51007
19,584311,1024105,439794,1,50994
20,636283,1075043,438760,1,50977
21,687687,1125842,438155,1,50924
22,738682,1176960,438278,1,50982
23,789635,1228488,438853,1,51145
24,840825,1279953,439128,1,51241
25,891833,1331445,439612,1,51316
26,942645,1382344,439699,1,51191
27,993588,1433388,439800,1,51147
28,1044516,1484180,439664,1,51040
29,1095426,1534840,439414,1,50926
30,1146424,1585835,439411,1,50947
31,1197656,1636728,439072,1,50930
32,1249310,1687816,438506,1,50977
33,1300836,1738915,438079,1,51014
34,1351910,1789768,437858,1,50965
35,1402895,1841674,438779,1,51247
36,1453658,1893104,439446,1,51302
37,1504329,1944179,439850,1,51234
38,1555338,1995308,439970,1,51202
39,1606274,2046365,440091,1,51158
40,1657319,2097230,439911,1,51070
41,1708396,2147967,439571,1,50970
42,1759297,2198929,439632,1,50968
43,1810972,2249616,438644,1,50883
44,1862521,2300575,438054,1,50906
45,1913667,2351411,437744,1,50885
46,1964764,2402706,437942,1,51008
47,2015943,2454237,438294,1,51165
48,2066739,2505391,438652,1,51161
49,2117510,2556511,439001,1,51149
50,2168415,2607558,439143,1,51118
51,2219065,2658513,439448,1,51069
52,2270022,2709433,439411,1,51024
53,2320894,2760576,439682,1,51060
54,2372028,2811609,439581,1,51052
55,2423638,2862359,438721,1,50961
56,2474900,2913115,438215,1,50899
57,2526006,2964002,437996,1,50895
58,2577030,3015387,438357,1,51042
59,2628055,3066917,438862,1,51188
60,2678967,3118334,439367,1,51257
61,2730075,3169273,439198,1,51161
62,2781052,3220275,439223,1,51113
63,2831872,3271220,439348,1,51063
64,2882677,3322217,439540,1,51043
65,2933513,3373244,439731,1,51038
66,2984411,3424380,439969,1,51067
67,3036214,3475309,439095,1,51026
68,3087753,3526239,438486,1,50997
69,3138777,3577088,438311,1,50952
70,3189728,3628420,438692,1,51066
71,3240711,3679834,439123,1,51170
72,3291753,3731075,439322,1,51191
73,3342709,3781953,439244,1,51097
74,3393880,3832882,439002,1,51047
75,3444803,3883863,439060,1,51027
76,3495770,3934900,439130,1,51030
77,3546577,3985654,439077,1,50947
78,3597578,4036661,439083,1,50965
79,3649156,4087606,438450,1,50959
80,3700481,4138495,438014,1,50938
81,3751493,4189395,437902,1,50926
82,3802398,4241005,438607,1,51131
83,3853346,4292101,438755,1,51120
84,3904403,4342983,438580,1,51049
85,3955176,4394047,438871,1,51053
86,4006170,4445218,439048,1,51088
87,4057134,4496192,439058,1,51054
88,4108010,4547026,439016,1,50988
89,4158926,4597920,438994,1,50960
90,4210383,4648564,438181,1,50865
91,4261626,4699616,437990,1,50921
92,4312494,4750572,438078,1,50931
93,4363534,4801587,438053,1,50956
94,4414749,4853138,438389,1,51134
95,4465684,4904094,438410,1,51081
96,4516525,4955078,438553,1,51052
97,4567432,5006150,438718,1,51058
98,4618073,5057224,439151,1,51062
99,4669124,5108255,439131,1,51053
100,4720091,5159132,439041,1,51000
101,4771069,5210004,438935,1,50961
102,4822582,5261152,438570,1,51017
103,4873596,5312004,438408,1,50968
104,4924595,5363048,438453,1,50990
105,4975631,5414280,438649,1,51063
106,5026679,5465651,438972,1,51155
107,5077764,5516763,438999,1,51142
108,5128623,5567684,439061,1,51076
109,5179460,5618870,439410,1,51109
110,5230608,5670004,439396,1,51116
