it,start,end,latency,sol,period
1,0,154509,154509,1,50114
2,14183,204623,190440,1,50113
3,24559,258848,234289,1,51347
4,34676,313176,278500,1,52241
5,64380,364433,300053,1,51946
6,115098,417993,302895,1,52430
7,169923,469391,299468,1,52120
8,224231,519691,295460,1,51574
9,278504,569974,291470,1,51187
10,332836,620522,287686,1,50995
11,384132,670933,286801,1,50820
12,434434,721535,287101,1,50754
13,484656,772048,287392,1,50682
14,534998,822382,287384,1,50577
15,585298,872734,287436,1,50509
16,635958,922992,287034,1,50434
17,686514,973289,286775,1,50393
18,736974,1023504,286530,1,50339
19,787333,1073797,286464,1,50325
20,837670,1124079,286409,1,50312
21,887951,1174418,286467,1,50320
22,938254,1224995,286741,1,50397
23,988485,1275289,286804,1,50366
24,1038773,1325829,287056,1,50418
25,1089064,1376279,287215,1,50427
26,1139404,1426592,287188,1,50393
27,1189702,1476794,287092,1,50336
28,1240297,1527031,286734,1,50306
29,1290829,1577336,286507,1,50305
30,1341318,1627638,286320,1,50304
31,1391523,1677962,286439,1,50310
32,1441814,1728276,286462,1,50311
33,1492008,1778540,286532,1,50297
34,1542301,1829064,286763,1,50365
35,1592563,1879371,286808,1,50347
36,1642880,1929900,287020,1,50402
37,1693219,1980369,287150,1,50422
38,1743492,2030593,287101,1,50362
39,1793778,2080809,287031,1,50318
40,1844313,2131046,286733,1,50294
41,1894929,2181294,286365,1,50280
42,1945396,2231485,286089,1,50253
43,1995590,2281708,286118,1,50244
44,2045869,2332014,286145,1,50262
45,2096076,2382268,286192,1,50260
46,2146340,2432728,286388,1,50320
47,2196479,2483036,286557,1,50316
48,2246730,2533525,286795,1,50368
49,2296978,2584008,287030,1,50402
50,2347242,2634316,287074,1,50374
51,2397525,2684582,287057,1,50341
52,2448052,2734963,286911,1,50353
53,2498535,2785239,286704,1,50330
54,2549032,2835540,286508,1,50321
55,2599269,2885810,286541,1,50306
56,2649580,2936076,286496,1,50294
57,2699828,2986322,286494,1,50279
58,2750217,3036965,286748,1,50388
59,2800533,3087306,286773,1,50374
60,2850772,3137834,287062,1,50420
61,2901061,3188370,287309,1,50455
62,2951325,3238644,287319,1,50400
63,3001891,3288878,286987,1,50350
64,3052279,3339162,286883,1,50330
65,3102818,3389426,286608,1,50310
66,3153370,3439694,286324,1,50297
67,3203630,3489930,286300,1,50279
68,3253912,3540186,286274,1,50272
69,3304100,3590532,286432,1,50294
70,3354393,3641267,286874,1,50426
71,3404664,3691541,286877,1,50380
72,3454928,3742068,287140,1,50424
73,3505167,3792538,287371,1,50438
