it,start,end,latency,execution,sol
484,15524865,16247242,722377,59450,1
485,15554649,16277225,722576,59694,1
486,15584368,16306958,722590,59302,1
487,15613945,16336742,722797,59450,1
488,15643619,16366485,722866,59589,1
489,15673472,16396269,722797,59562,1
490,15703258,16425844,722586,59358,1
491,15733048,16455408,722360,59334,1
492,15762826,16485044,722218,59291,1
493,15792488,16514691,722203,59240,1
494,15822089,16544399,722310,59320,1
495,15851709,16574037,722328,59227,1
496,15881306,16603673,722367,59255,1
497,15910933,16633288,722355,59248,1
498,15940573,16662907,722334,59355,1
499,15970316,16692578,722262,59380,1
500,16000032,16722199,722167,59338,1
501,16029757,16751850,722093,59283,1
502,16059397,16781454,722057,59261,1
503,16089061,16811015,721954,59159,1
504,16118667,16840610,721943,59206,1
505,16148286,16870697,722411,59735,1
506,16177942,16900523,722581,59410,1
507,16207534,16930320,722786,59426,1
508,16237170,16960132,722962,59782,1
509,16267149,16989876,722727,59526,1
510,16296939,17019460,722521,59370,1
511,16326733,17049127,722394,59427,1
512,16356501,17078772,722271,59418,1
513,16386282,17108434,722152,59195,1
514,16415823,17138025,722202,59151,1
515,16445391,17167625,722234,59225,1
516,16475024,17197349,722325,59340,1
517,16504648,17226971,722323,59320,1
518,16534353,17256676,722323,59362,1
519,16564018,17286300,722282,59254,1
520,16593656,17315952,722296,59276,1
521,16623287,17345541,722254,59186,1
522,16652891,17375105,722214,59200,1
523,16682534,17404730,722196,59265,1
524,16712182,17434308,722126,59194,1
525,16741806,17464418,722612,59719,1
526,16771423,17494230,722807,59402,1
527,16801020,17524043,723023,59361,1
528,16830576,17553823,723247,59874,1
529,16860679,17583589,722910,59550,1
530,16890471,17613298,722827,59578,1
531,16920347,17642892,722545,59357,1
532,16950118,17672552,722434,59442,1
533,16979908,17702186,722278,59143,1
534,17009425,17731832,722407,59323,1
535,17039110,17761500,722390,59297,1
536,17068747,17791088,722341,59210,1
537,17098377,17820725,722348,59262,1
538,17128010,17850375,722365,59242,1
539,17157609,17879958,722349,59266,1
540,17187300,17909533,722233,59221,1
541,17216954,17939113,722159,59248,1
542,17246630,17968806,722176,59337,1
543,17276282,17998430,722148,59242,1
544,17305908,18028135,722227,59292,1
545,17335503,18058048,722545,59495,1
546,17365093,18087780,722687,59314,1
547,17394682,18117578,722896,59412,1
548,17424304,18147325,723021,59797,1
549,17454363,18177070,722707,59522,1
550,17484148,18206680,722532,59497,1
551,17514042,18236341,722299,59456,1
552,17543844,18266017,722173,59467,1
553,17573643,18295646,722003,59193,1
554,17603214,18325318,722104,59322,1
555,17632872,18354934,722062,59241,1
556,17662504,18384621,722117,59342,1
557,17692167,18414244,722077,59238,1
558,17721788,18443864,722076,59267,1
559,17751442,18473469,722027,59225,1
560,17781069,18503018,721949,59166,1
561,17810694,18532735,722041,59326,1
562,17840311,18562362,722051,59242,1
563,17869933,18592055,722122,59263,1
564,17899511,18621670,722159,59191,1
565,17929095,18651341,722246,59344,1
566,17958776,18681356,722580,59651,1
567,17988420,18711195,722775,59532,1
568,18018120,18741003,722883,59562,1
569,18047882,18770792,722910,59656,1
570,18077757,18800461,722704,59490,1
571,18107586,18830072,722486,59363,1
572,18137346,18859663,722317,59342,1
573,18167104,18889345,722241,59259,1
574,18196690,18918921,722231,59203,1
575,18226325,18948599,722274,59332,1
576,18255986,18978219,722233,59288,1
577,18285661,19007869,722208,59281,1
578,18315300,19037504,722204,59248,1
579,18344921,19067272,722351,59416,1
580,18374577,19097722,723145,60089,1
581,18404224,19127301,723077,59160,1
582,18433817,19157191,723374,59482,1
583,18463417,19187190,723773,59597,1
584,18493022,19217449,724427,59918,1
585,18522689,19247672,724983,59864,1
586,18552338,19277912,725574,59901,1
587,18582006,19307714,725708,59413,1
588,18611625,19337478,725853,59396,1
589,18641277,19367222,725945,59725,1
590,18671266,19396999,725733,59712,1
591,18701209,19426625,725416,59435,1
592,18731026,19456217,725191,59363,1
593,18760805,19485820,725015,59242,1
594,18790452,19515461,725009,59235,1
595,18820054,19545138,725084,59264,1
596,18849649,19574783,725134,59275,1
597,18879287,19604434,725147,59264,1
598,18908908,19634049,725141,59253,1
599,18938554,19663708,725154,59298,1
600,18968200,19693338,725138,59274,1
601,18997852,19722948,725096,59246,1
602,19027496,19752626,725130,59492,1
603,19057318,19782218,724900,59445,1
604,19087178,19811888,724710,59883,1
605,19117399,19841523,724124,59433,1
606,19147204,19871718,724514,60040,1
607,19177056,19901520,724464,60049,1
608,19207311,19931275,723964,59990,1
609,19237554,19961103,723549,60126,1
610,19267860,19990883,723023,59652,1
611,19297740,20020565,722825,59425,1
612,19327490,20050164,722674,59341,1
613,19357240,20079844,722604,59451,1
614,19387019,20109509,722490,59214,1
615,19416576,20139066,722490,59202,1
616,19446229,20168686,722457,59191,1
617,19475808,20198318,722510,59229,1
618,19505413,20227902,722489,59259,1
619,19535096,20257506,722410,59255,1
620,19564755,20287166,722411,59306,1
621,19594408,20316811,722403,59258,1
622,19624029,20346435,722406,59257,1
623,19653669,20376073,722404,59280,1
624,19683319,20405669,722350,59198,1
625,19712929,20435288,722359,59266,1
626,19742583,20465295,722712,59617,1
627,19772201,20494836,722635,59200,1
628,19801869,20524642,722773,59427,1
629,19831509,20554407,722898,59889,1
630,19861642,20584153,722511,59581,1
631,19891503,20613786,722283,59422,1
632,19921300,20643375,722075,59399,1
633,19951116,20672983,721867,59391,1
634,19980907,20702579,721672,59212,1
635,20010531,20732226,721695,59287,1
636,20040178,20761775,721597,59164,1
637,20069801,20791432,721631,59299,1
638,20099450,20821111,721661,59275,1
639,20129054,20850733,721679,59197,1
640,20158637,20880412,721775,59314,1
641,20188280,20909940,721660,59156,1
642,20217915,20939580,721665,59171,1
643,20247454,20969258,721804,59358,1
644,20277142,20998871,721729,59261,1
645,20306798,21028531,721733,59268,1
646,20336413,21058358,721945,59430,1
647,20366024,21088288,722264,59603,1
648,20395705,21118004,722299,59262,1
649,20425258,21147763,722505,59441,1
650,20454948,21177553,722605,59653,1
651,20484819,21207151,722332,59407,1
652,20514636,21236776,722140,59418,1
653,20544436,21266334,721898,59260,1
654,20574146,21295984,721838,59226,1
655,20603730,21325619,721889,59261,1
656,20633363,21355183,721820,59155,1
657,20662962,21384859,721897,59264,1
