it,start,end,latency,execution,sol
1,0,48641,48641,62971,1
2,14452,68614,54162,29834,1
3,24336,88611,64275,29772,1
4,34118,108386,74268,29723,1
5,44077,128239,84162,29762,1
6,53992,148067,94075,29622,1
7,63792,167969,104177,29660,1
8,73557,187835,114278,29800,1
9,83499,207652,124153,29604,1
10,93292,227532,134240,29621,1
11,103039,247292,144253,29509,1
12,112793,267059,154266,29509,1
13,122541,286966,164425,29663,1
14,132302,306626,174324,29368,1
15,142016,326219,184203,29344,1
16,151773,345700,193927,29238,1
17,161535,365217,203682,29224,1
18,171248,384662,213414,29204,1
19,181012,404208,223196,29261,1
20,190733,423727,232994,29291,1
21,200510,443254,242744,29206,1
22,210195,462625,252430,29148,1
23,219977,482289,262312,29312,1
24,229632,501815,272183,29260,1
25,239372,521432,282060,29277,1
26,249038,541068,292030,29380,1
27,258788,560550,301762,29141,1
28,268453,580029,311576,29212,1
29,278192,599600,321408,29352,1
30,287980,619585,331605,38680,1
31,306690,639384,332694,39300,1
32,326200,658974,332774,39071,1
33,345689,678570,332881,39182,1
34,365282,698234,332952,39103,1
35,384729,717801,333072,39103,1
36,404272,737413,333141,39105,1
37,423773,756947,333174,39006,1
38,443253,776445,333192,38910,1
39,462673,795909,333236,39058,1
40,482275,815396,333121,39064,1
41,501873,834697,332824,38848,1
42,521428,854145,332717,39045,1
43,541033,873669,332636,39101,1
44,560618,893186,332568,38991,1
45,580101,912579,332478,38953,1
46,599669,932134,332465,39502,1
47,619624,951585,331961,39168,1
48,639349,971217,331868,39253,1
49,658978,990754,331776,39169,1
50,678618,1010206,331588,39118,1
51,698292,1029610,331318,38896,1
52,717792,1049173,331381,39236,1
53,737473,1068725,331252,39089,1
54,757018,1088245,331227,38934,1
55,776454,1107655,331201,38836,1
56,795888,1127084,331196,38941,1
57,815407,1146715,331308,38903,1
58,834687,1166192,331505,38937,1
59,854155,1185683,331528,38995,1
60,873667,1205585,331918,39481,1
61,893254,1225304,332050,39129,1
62,912672,1244820,332148,38975,1
63,932140,1264407,332267,39010,1
64,951571,1283976,332405,39224,1
65,971234,1303480,332246,39016,1
66,990754,1322990,332236,39030,1
67,1010282,1342403,332121,38800,1
68,1029676,1361690,332014,38858,1
69,1049255,1381187,331932,38944,1
70,1068710,1400793,332083,39118,1
71,1088230,1420224,331994,38795,1
72,1107602,1439658,332056,38904,1
73,1127080,1459119,332039,39039,1
74,1146666,1478653,331987,39097,1
75,1166237,1498127,331890,38969,1
76,1185740,1517709,331969,39400,1
77,1205574,1537341,331767,39370,1
78,1225321,1556786,331465,38938,1
79,1244822,1576321,331499,39104,1
80,1264399,1595795,331396,39033,1
81,1283976,1615322,331346,39029,1
82,1303486,1634911,331425,39077,1
83,1322982,1654442,331460,38937,1
84,1342396,1673955,331559,38859,1
85,1361750,1693488,331738,39007,1
86,1381232,1712935,331703,38999,1
87,1400793,1732180,331387,38686,1
88,1420255,1751656,331401,38920,1
89,1439707,1771202,331495,38960,1
90,1459129,1790755,331626,39066,1
91,1478650,1810679,332029,39409,1
92,1498143,1830519,332376,39385,1
93,1517697,1850212,332515,39330,1
94,1537342,1869789,332447,39005,1
95,1556778,1889307,332529,39057,1
96,1576325,1908797,332472,38994,1
97,1595837,1928386,332549,39082,1
98,1615338,1947832,332494,39021,1
99,1634921,1967283,332362,39023,1
100,1654501,1986887,332386,39045,1
101,1673950,2006416,332466,39119,1
102,1693548,2025895,332347,38854,1
103,1712931,2045379,332448,38736,1
104,1732190,2064922,332732,39059,1
105,1751714,2084363,332649,38891,1
106,1771172,2103859,332687,39082,1
107,1790766,2123344,332578,39387,1
108,1810679,2142897,332218,39397,1
109,1830532,2162406,331874,39247,1
110,1850278,2181992,331714,39143,1
111,1869843,2201538,331695,39070,1
112,1889374,2221027,331653,38975,1
113,1908867,2240585,331718,39028,1
114,1928346,2260071,331725,38970,1
115,1947839,2279599,331760,38962,1
116,1967281,2299148,331867,39142,1
117,1986882,2318630,331748,39002,1
118,2006409,2338198,331789,39119,1
119,2025967,2357664,331697,38934,1
120,2045443,2377165,331722,39041,1
121,2064991,2396723,331732,38963,1
122,2084404,2417017,332613,39760,1
123,2103878,2436633,332755,39089,1
124,2123359,2456273,332914,39211,1
125,2142937,2475750,332813,38949,1
126,2162417,2495163,332746,39003,1
127,2182027,2514585,332558,38988,1
128,2201601,2534105,332504,39003,1
129,2221091,2553683,332592,39131,1
130,2240652,2573224,332572,39025,1
131,2260143,2592791,332648,39032,1
132,2279616,2612292,332676,39062,1
133,2299185,2631854,332669,39013,1
134,2318644,2651428,332784,39109,1
135,2338186,2670860,332674,38924,1
