it,start,end,latency,sol
1,0,154011,154011,1
2,15293,197938,182645,1
3,25812,251781,225969,1
4,35973,307763,271790,1
5,46392,348852,302460,1
6,56695,392214,335519,1
7,66970,435612,368642,1
8,77324,479117,401793,1
9,87693,522562,434869,1
10,98028,566440,468412,1
11,111222,607289,496067,1
12,121567,648658,527091,1
13,131907,690005,558098,1
14,143263,731555,588292,1
15,153597,772901,619304,1
16,163932,814247,650315,1
17,174267,857504,683237,1
18,184600,900903,716303,1
19,194935,945465,750530,1
20,205269,986894,781625,1
21,224544,1028337,803793,1
22,265315,1069672,804357,1
23,305919,1110958,805039,1
24,348858,1152334,803476,1
25,392225,1193852,801627,1
26,435618,1235508,799890,1
27,479125,1276974,797849,1
28,522568,1318359,795791,1
29,566445,1359763,793318,1
30,594823,1401114,806291,1
31,635667,1442452,806785,1
32,676431,1483752,807321,1
33,717216,1525095,807879,1
34,758013,1566440,808427,1
35,798776,1607764,808988,1
36,839432,1649154,809722,1
37,880135,1690558,810423,1
38,920880,1731869,810989,1
39,961692,1773258,811566,1
40,1002495,1814875,812380,1
41,1043293,1856254,812961,1
42,1084094,1897694,813600,1
43,1124868,1948849,823981,1
44,1165751,1982490,816739,1
45,1206725,2023934,817209,1
46,1247452,2065330,817878,1
47,1288247,2106760,818513,1
48,1328987,2148227,819240,1
49,1369769,2189605,819836,1
50,1410534,2230917,820383,1
51,1451275,2272390,821115,1
52,1492122,2313705,821583,1
53,1532916,2355160,822244,1
54,1573688,2396633,822945,1
55,1614466,2438007,823541,1
56,1655264,2479352,824088,1
57,1696064,2520526,824462,1
58,1736860,2561777,824917,1
59,1777661,2603014,825353,1
60,1818648,2644426,825778,1
61,1859537,2683649,824112,1
62,1900346,2724883,824537,1
63,1941082,2778377,837295,1
64,1982494,2837727,855233,1
65,2023939,2881131,857192,1
66,2065334,2924416,859082,1
67,2106765,2967848,861083,1
68,2148232,3012551,864319,1
69,2189610,3053358,863748,1
70,2230922,3094173,863251,1
71,2272395,3135434,863039,1
72,2313709,3176889,863180,1
73,2355165,3218131,862966,1
74,2396638,3259412,862774,1
75,2438012,3300796,862784,1
76,2479355,3342217,862862,1
77,2520530,3383698,863168,1
78,2561781,3424908,863127,1
79,2603018,3466236,863218,1
80,2634091,3507558,873467,1
81,2674719,3548901,874182,1
82,2715396,3590240,874844,1
83,2755991,3631766,875775,1
84,2796648,3673173,876525,1
85,2837737,3714519,876782,1
86,2881136,3755905,874769,1
87,2924421,3797302,872881,1
88,2967853,3838572,870719,1
89,3012556,3879977,867421,1
90,3053363,3921247,867884,1
91,3094178,3962652,868474,1
92,3122584,4004022,881438,1
93,3163354,4045510,882156,1
94,3204095,4086903,882808,1
95,3244921,4128337,883416,1
96,3285692,4169725,884033,1
97,3326637,4211111,884474,1
98,3367401,4252574,885173,1
99,3408145,4293897,885752,1
100,3448942,4335392,886450,1
101,3489728,4376685,886957,1
102,3530528,4418048,887520,1
103,3571330,4459361,888031,1
104,3612262,4500697,888435,1
105,3653043,4542139,889096,1
106,3693818,4583447,889629,1
107,3734589,4624798,890209,1
108,3775350,4666107,890757,1
109,3816117,4707526,891409,1
110,3856903,4748875,891972,1
