it,start,end,latency,execution,sol
1,0,65600,65600,81030,1
2,15478,85774,70296,30505,1
3,25825,105941,80116,30315,1
4,35981,126098,90117,30546,1
5,46379,146250,99871,30188,1
6,56420,166409,109989,30316,1
7,66582,186476,119894,30154,1
8,76674,206518,129844,30149,1
9,86787,226581,139794,30137,1
10,96866,246675,149809,30200,1
11,106978,266715,159737,30119,1
12,117063,286769,169706,30092,1
13,127107,306850,179743,30139,1
14,137171,326850,189679,30035,1
15,147211,346796,199585,30062,1
16,157332,366751,209419,30042,1
17,167425,386707,219282,30015,1
18,177489,406655,229166,29920,1
19,187467,426612,239145,29986,1
20,197502,446565,249063,30034,1
21,207589,466518,258929,29927,1
22,217568,486390,268822,29978,1
23,227680,506325,278645,29900,1
24,237651,526198,288547,29961,1
25,247745,546144,298399,29977,1
26,257782,566067,308285,29999,1
27,267863,585983,318120,29889,1
28,277841,606284,328443,30404,1
29,287950,626344,338394,30003,1
30,297900,646375,348475,34168,1
31,312045,666305,354260,39872,1
32,331995,686347,354352,39991,1
33,351952,706268,354316,39867,1
34,371906,726206,354300,39856,1
35,391831,746137,354306,39754,1
36,411661,766175,354514,40084,1
37,431715,786150,354435,39967,1
38,451715,806159,354444,39908,1
39,471622,826122,354500,39954,1
40,491621,846061,354440,39778,1
41,511467,866055,354588,39913,1
42,531394,886062,354668,39811,1
43,551206,906048,354842,40025,1
44,571253,926068,354815,39937,1
45,591177,946019,354842,40287,1
46,611520,966038,354518,40102,1
47,631611,985973,354362,39844,1
48,651527,1005943,354416,39813,1
49,671378,1025924,354546,40106,1
50,691510,1045890,354380,39881,1
51,711433,1065858,354425,39886,1
52,731359,1085940,354581,39970,1
53,751254,1105958,354704,40143,1
54,771387,1125955,354568,39992,1
55,791390,1145979,354589,39935,1
56,811308,1165993,354685,39986,1
57,831287,1185993,354706,40031,1
58,851331,1206200,354869,39999,1
59,871131,1226246,355115,40166,1
60,891261,1246338,355077,40039,1
61,911216,1266340,355124,40022,1
62,931244,1286321,355077,39975,1
63,951246,1306313,355067,39930,1
64,971191,1326290,355099,39946,1
65,991167,1346254,355087,39973,1
66,1011184,1366242,355058,39908,1
67,1031112,1386171,355059,39915,1
68,1051106,1406108,355002,39913,1
69,1071090,1426110,355020,39928,1
70,1091030,1446054,355024,40054,1
71,1111147,1465987,354840,39958,1
72,1131179,1485930,354751,39940,1
73,1151183,1505863,354680,39940,1
74,1171197,1525800,354603,39904,1
75,1191172,1545725,354553,40099,1
76,1211354,1565651,354297,40097,1
77,1231533,1585658,354125,39871,1
78,1251405,1605620,354215,39987,1
79,1271437,1625515,354078,39942,1
80,1291492,1645450,353958,39850,1
81,1311415,1665833,354418,40438,1
82,1331477,1686077,354600,40121,1
83,1351362,1706217,354855,40202,1
84,1371432,1726370,354938,40005,1
85,1391293,1746521,355228,40168,1
86,1411318,1766677,355359,40164,1
87,1431333,1786595,355262,39836,1
88,1451258,1806803,355545,40069,1
89,1471127,1826801,355674,39984,1
90,1491121,1846806,355685,39917,1
91,1511040,1866746,355706,39834,1
92,1530941,1886699,355758,39939,1
93,1550935,1906683,355748,39862,1
94,1570821,1926638,355817,39922,1
95,1590795,1946635,355840,39869,1
96,1610675,1966653,355978,40045,1
97,1630710,1986557,355847,39896,1
98,1650711,2006496,355785,40199,1
99,1670980,2026471,355491,40205,1
100,1691218,2046403,355185,40125,1
101,1711420,2066367,354947,40096,1
102,1731560,2086318,354758,40092,1
103,1751709,2106238,354529,40018,1
104,1771815,2126170,354355,39782,1
105,1791672,2146179,354507,40237,1
106,1811908,2166227,354319,40133,1
107,1832000,2186187,354187,39910,1
108,1851958,2206147,354189,39895,1
109,1871901,2226154,354253,39888,1
110,1891790,2246138,354348,40018,1
111,1911832,2266057,354225,39909,1
112,1931830,2286118,354288,40019,1
113,1951796,2306170,354374,40064,1
114,1971814,2326187,354373,39941,1
115,1991745,2346139,354394,39911,1
116,2011712,2366140,354428,39956,1
117,2031675,2386047,354372,39760,1
118,2051535,2406282,354747,40269,1
119,2071576,2426392,354816,40019,1
120,2091493,2446371,354878,39966,1
121,2111488,2466309,354821,39867,1
122,2131424,2486270,354846,39925,1
123,2151396,2506294,354898,40022,1
124,2171401,2526243,354842,39908,1
125,2191368,2546247,354879,40053,1
126,2211424,2566239,354815,39822,1
127,2231262,2586100,354838,39961,1
128,2251370,2606037,354667,39799,1
129,2271240,2625979,354739,40017,1
130,2291323,2645922,354599,39923,1
131,2311311,2665869,354558,39903,1
132,2331275,2685817,354542,40003,1
133,2351337,2705757,354420,39938,1
134,2371342,2725695,354353,39838,1
135,2391250,2745624,354374,40196,1
136,2411524,2765563,354039,40062,1
137,2431655,2785583,353928,39939,1
138,2451582,2805622,354040,39943,1
139,2471493,2825543,354050,39838,1
140,2491418,2845494,354076,39980,1
141,2511455,2865468,354013,39960,1
142,2531449,2885478,354029,39985,1
143,2551433,2905550,354117,40048,1
144,2571417,2925487,354070,39828,1
145,2591315,2945457,354142,39895,1
146,2611248,2965435,354187,39912,1
147,2631190,2985360,354170,39779,1
148,2651052,3005329,354277,40001,1
149,2671091,3025462,354371,40062,1
150,2691029,3045449,354420,39918,1
151,2710968,3065463,354495,39946,1
152,2730908,3085475,354567,39931,1
153,2750835,3105460,354625,39870,1
154,2770728,3125420,354692,40000,1
155,2790776,3145403,354627,39925,1
156,2810725,3165407,354682,40033,1
157,2830785,3185327,354542,39819,1
158,2850705,3205226,354521,39867,1
159,2870681,3225178,354497,39972,1
