step,start,end,latency,execution
1,0,48682,48682,62613
2,14051,68453,54402,30050
3,24370,88453,64083,29851
4,34245,108396,74151,29868
5,44179,128355,84176,29792
6,54035,148296,94261,29748
7,63850,168289,104439,29835
8,73699,187878,114179,29451
9,83567,207511,123944,29496
10,93436,227104,133668,29452
11,103300,246715,143415,29471
12,113165,266343,153178,29481
13,123024,285955,162931,29470
14,132887,305418,172531,29326
15,142756,324811,182055,29250
16,152618,344224,191606,29273
17,162484,363654,201170,29202
18,172262,383037,210775,29144
19,182028,402452,220424,29078
20,191697,421869,230172,29157
21,201443,441282,239839,29035
22,211070,460670,249600,29080
23,220768,480060,259292,29048
24,230431,499475,269044,29157
25,240178,518887,278709,29075
26,249847,538302,288455,29138
27,259576,557683,298107,29049
28,269250,577077,307827,29112
29,278973,596467,317494,29033
30,288622,616628,328006,36663
31,305146,636112,330966,38907
32,324577,655545,330968,38813
33,343965,674922,330957,38797
34,363393,694573,331180,39030
35,382779,714215,331436,39048
36,402193,733865,331672,39057
37,421608,753609,332001,39122
38,440994,773262,332268,39062
39,460411,792664,332253,38786
40,479803,812140,332337,38880
41,499215,831529,332314,38794
42,518628,850911,332283,38790
43,538044,870329,332285,38798
44,557432,889715,332283,38764
45,576818,909103,332285,38770
46,596208,928494,332286,39584
47,616410,947881,331471,38823
48,635854,967341,331487,38885
49,655287,986724,331437,38757
50,674669,1006115,331446,39036
51,694322,1025553,331231,39072
52,713963,1044948,330985,39033
53,733609,1064321,330712,39120
54,753364,1083745,330381,39022
55,772970,1103064,330094,38743
56,792402,1122460,330058,38865
57,811878,1141954,330076,38878
58,831270,1161366,330096,38791
59,850657,1180757,330100,38796
60,870070,1200338,330268,38959
61,889456,1220028,330572,39068
62,908843,1239494,330651,38851
63,928235,1258883,330648,38767
64,947621,1278236,330615,38805
65,967081,1297888,330807,39027
66,986464,1317526,331062,39018
67,1005852,1337139,331287,39048
68,1025295,1356756,331461,39001
69,1044686,1376383,331697,39053
70,1064126,1395749,331623,38716
71,1083483,1415113,331630,38687
72,1102814,1434522,331708,38782
73,1122195,1453912,331717,38879
74,1141692,1473295,331603,38760
75,1161077,1492634,331557,38750
76,1180496,1512061,331565,39067
77,1200150,1531479,331329,39045
78,1219785,1550826,331041,38793
79,1239239,1570221,330982,38771
80,1258623,1589637,331014,38762
