it,start,end,latency,execution,sol
180,7896033,8693445,797412,101761,2
181,7916984,8766859,849875,132768,2
182,7976345,8831988,855643,86035,2
183,7997258,8901270,904012,128605,2
184,8056588,8970521,913933,90202,2
185,8077544,9048906,971362,137803,2
186,8136968,9119078,982110,91106,2
187,8157908,9208746,1050838,149006,2
188,8217251,9314723,1097472,126904,2
189,8238186,9416657,1178471,161257,2
190,8297516,9511056,1213540,115302,2
191,8318425,9590165,1271740,138433,2
192,8377756,9670054,1292298,100794,2
193,8398667,9729357,1330690,119326,2
194,8458698,9828621,1369923,118268,2
195,8477710,9910784,1433074,139537,2
196,8535091,9976750,1441659,86900,2
197,8556033,10037858,1481825,120480,2
198,8615413,10140881,1525468,121993,2
199,8634389,10195063,1560674,104371,2
200,8684584,10257563,1572979,90615,2
201,8712705,10336830,1624125,170374,2
202,8803818,10405985,1602167,122081,2
203,8856751,10475368,1618617,125498,2
204,8912871,10544688,1631817,138439,2
205,8981997,10614013,1632016,153283,2
206,9065962,10683277,1617315,167616,2
207,9164319,10752533,1588214,140914,2
208,9235983,10822310,1586327,167141,2
209,9333355,10891865,1558510,167712,2
210,9431520,10961129,1529609,163755,2
211,9526017,11030422,1504405,146380,2
212,9603111,11099712,1496601,149992,2
213,9683820,11169058,1485238,149686,2
214,9764166,11238386,1474220,140567,2
215,9835413,11307652,1472239,150626,2
216,9916780,11376907,1460127,150518,2
217,9998049,11446132,1448083,146691,2
218,10075522,11510709,1435187,139883,2
219,10150836,11616612,1465776,193770,2
220,10238711,11712691,1473980,125205,2
221,10267845,11764652,1496807,125404,2
222,10341295,11843722,1502427,160402,2
223,10422633,11913821,1491188,138122,2
224,10490664,12014643,1523979,159193,2
225,10549041,12090771,1541730,155907,2
226,10628827,12148508,1519681,127530,2
227,10698635,12214665,1516030,134660,2
228,10767146,12274702,1507556,130400,2
229,10837518,12316639,1479121,112586,2
230,10908174,12376667,1468493,130471,2
231,10978661,12436716,1458055,123774,2
232,11042393,12500581,1458188,125834,2
233,11104369,12558746,1454377,137574,2
234,11183786,12607300,1423514,108989,2
235,11244231,12657698,1413467,128536,2
236,11322375,12706553,1384178,110497,2
237,11384027,12757241,1373214,129274,2
238,11462628,12807721,1345093,113091,2
239,11551374,12842217,1290843,115439,2
240,12842970,12942346,99376,108923,1
241,12852523,13002126,149603,69909,1
242,12862668,13065651,202983,73439,1
243,12872593,13126732,254139,85361,1
244,12896878,13177958,281080,70900,1
245,12916557,13218773,302216,60511,1
246,12936257,13259408,323151,60365,1
247,12955990,13300120,344130,60408,1
248,12975688,13341665,365977,71289,1
249,13005437,13382295,376858,60196,1
250,13025007,13423058,398051,58115,1
251,13042362,13463657,421295,50113,1
252,13051880,13504215,452335,60067,1
253,13071393,13545010,473617,60330,1
254,13090932,13585619,494687,60146,1
255,13110473,13626201,515728,60119,1
256,13130014,13666615,536601,59951,1
257,13149555,13706975,557420,54864,1
258,13164063,13747484,583421,71113,1
259,13194669,13787955,593286,51901,1
260,13206103,13828455,622352,71172,1
261,13236778,13869044,632266,67182,1
262,13263375,13909972,646597,56357,1
263,13278808,13950908,672100,50442,1
264,13288324,13991561,703237,65251,1
265,13312930,14032300,719370,57035,1
266,13329230,14073105,743875,63707,1
267,13352135,14113827,761692,58024,1
268,13369440,14154415,784975,62780,1
269,13391636,14195019,803383,58567,1
270,13409602,14235846,826244,66257,1
271,13435036,14276318,841282,55156,1
272,13449723,14316736,867013,65229,1
273,13474538,14357056,882518,55618,1
274,13489839,14397534,907695,64739,1
275,13514104,14437938,923834,56267,1
276,13529970,14478467,948497,64032,1
277,13553475,14519627,966152,57769,1
278,13570088,14560531,990443,75570,1
279,13604758,14601175,996417,81147,1
280,13645265,14641963,996698,81184,1
281,13685666,14682610,996944,81014,1
282,13726037,14723248,997211,81091,1
283,13766494,14763776,997282,81062,1
284,13807033,14804424,997391,81126,1
285,13847515,14844959,997444,81143,1
286,13888128,14885566,997438,81882,1
287,13929407,14925885,996478,80945,1
288,13970037,14966404,996367,81038,1
289,14010560,15007035,996475,81553,1
290,14051485,15047550,996065,81333,1
291,14092306,15088157,995851,81231,1
292,14132935,15129570,996635,81994,1
293,14173520,15170108,996588,81080,1
294,14214066,15210744,996678,81456,1
295,14254889,15251216,996327,80969,1
296,14295404,15291678,996274,80891,1
297,14335836,15332103,996267,80719,1
298,14376135,15372522,996387,80909,1
299,14416628,15412964,996336,80898,1
300,14457088,15453494,996406,80929,1
301,14497491,15493944,996453,81872,1
302,14538917,15534400,995483,81236,1
303,14579701,15574972,995271,81211,1
304,14620344,15615575,995231,81327,1
305,14661072,15655994,994922,81010,1
306,14701668,15696572,994904,81232,1
307,14742325,15737598,995273,81492,1
308,14782795,15778472,995677,81542,1
309,14823466,15818963,995497,81032,1
310,14864010,15859728,995718,81378,1
311,14904627,15900382,995755,80989,1
312,14944967,15940824,995857,80972,1
313,14985500,15981338,995838,81088,1
314,15026079,16021942,995863,81124,1
315,15066603,16062381,995778,81527,1
316,15107694,16102950,995256,81593,1
317,15148722,16143462,994740,81119,1
318,15189333,16184066,994733,81150,1
319,15229884,16224705,994821,81079,1
320,15270328,16265042,994714,80680,1
321,15310675,16305559,994884,81002,1
322,15351165,16346835,995670,81736,1
323,15391630,16387559,995929,81081,1
324,15431992,16428190,996198,81276,1
325,15472641,16468754,996113,80942,1
326,15513022,16509139,996117,80820,1
327,15553460,16549534,996074,80963,1
328,15594031,16590083,996052,81159,1
329,15634645,16630539,995894,80813,1
330,15675006,16671005,995999,81295,1
331,15715839,16711357,995518,81414,1
332,15756905,16751811,994906,81084,1
333,15797538,16792270,994732,81017,1
334,15838101,16832794,994693,81200,1
335,15878781,16873198,994417,81066,1
336,15919447,16914238,994791,81487,1
337,15959898,16955079,995181,81292,1
338,16000355,16995353,994998,80971,1
339,16041056,17035931,994875,81019,1
340,16081502,17076630,995128,81260,1
341,16122066,17117163,995097,80999,1
342,16162536,17157682,995146,81097,1
343,16203118,17197966,994848,80909,1
344,16243748,17238481,994733,80833,1
345,16284071,17279050,994979,81721,1
346,16325227,17319666,994439,81407,1
347,16366023,17359952,993929,80850,1
348,16406591,17400300,993709,81030,1
349,16447276,17440965,993689,81251,1
350,16487867,17481492,993625,80941,1
351,16528286,17522683,994397,81501,1
352,16568599,17563463,994864,81352,1
353,16609174,17603910,994736,80863,1
354,16649595,17644407,994812,80999,1
355,16690101,17684859,994758,80832,1
356,16730486,17725382,994896,80862,1
357,16770829,17765870,995041,80926,1
358,16811271,17806296,995025,81051,1
359,16851900,17846889,994989,80968,1
360,16892279,17887254,994975,81719,1
361,16933637,17927722,994085,80965,1
362,16974138,17968242,994104,80859,1
363,17014481,18008700,994219,81087,1
364,17055114,18049207,994093,81211,1
365,17095822,18089637,993815,80857,1
366,17136254,18130818,994564,81655,1
367,17176732,18171492,994760,80959,1
368,17217022,18212026,995004,81087,1
369,17257579,18252321,994742,80856,1
370,17298144,18292740,994596,80942,1
371,17338670,18333073,994403,80658,1
372,17378999,18373544,994545,80811,1
373,17419366,18414116,994750,81216,1
374,17460014,18454524,994510,80949,1
375,17500558,18494940,994382,81815,1
376,17541961,18535515,993554,81163,1
377,17582552,18575990,993438,80958,1
378,17623039,18616429,993390,80936,1
379,17663540,18656792,993252,80766,1
380,17703948,18697210,993262,81002,1
381,17744536,18738432,993896,81630,1
382,17784948,18778911,993963,80864,1
383,17825337,18819299,993962,80974,1
384,17865927,18859919,993992,81040,1
385,17906350,18900610,994260,81138,1
386,17946802,18941102,994300,80961,1
387,17987274,18981551,994277,80921,1
388,18027749,19022116,994367,81105,1
389,18068293,19062881,994588,81180,1
390,18108712,19103487,994775,81871,1
391,18149981,19144075,994094,81175,1
392,18190573,19184574,994001,81038,1
393,18231115,19225148,994033,80833,1
394,18271378,19265561,994183,80849,1
395,18311818,19305981,994163,80760,1
396,18352162,19347145,994983,81618,1
397,18392620,19387609,994989,81025,1
398,18433185,19428084,994899,80867,1
399,18473580,19468422,994842,80731,1
400,18513977,19508851,994874,80979,1
401,18554530,19549212,994682,80872,1
402,18595045,19589555,994510,80766,1
403,18635472,19629808,994336,80705,1
404,18675928,19670329,994401,81334,1
405,18716745,19710860,994115,81409,1
406,18757626,19751314,993688,80859,1
407,18798035,19791847,993812,80943,1
408,18838449,19832324,993875,80964,1
409,18878940,19872938,993998,81392,1
410,18919722,19913640,993918,81110,1
411,18960134,19954980,994846,81802,1
412,19000618,19995465,994847,81169,1
413,19041305,20036054,994749,81321,1
414,19082041,20076919,994878,81441,1
415,19122620,20117669,995049,81261,1
416,19163136,20158025,994889,80890,1
417,19203674,20198466,994792,80960,1
418,19244197,20238871,994674,80892,1
419,19284688,20279393,994705,81453,1
420,19325623,20319915,994292,81114,1
421,19366218,20360442,994224,80969,1
422,19406663,20400928,994265,80918,1
423,19447099,20441505,994406,80975,1
424,19487500,20481921,994421,80853,1
425,19527941,20522699,994758,81126,1
426,19568293,20563494,995201,81201,1
427,19608705,20603972,995267,80693,1
428,19648924,20644461,995537,80918,1
429,19689356,20684937,995581,81065,1
430,19729949,20725478,995529,80977,1
431,19770389,20765842,995453,80855,1
432,19810884,20806276,995392,80929,1
433,19851382,20846638,995256,80952,1
434,19891976,20887227,995251,81911,1
435,19933301,20927636,994335,81205,1
436,19974101,20967997,993896,80814,1
437,20014558,21008429,993871,80970,1
438,20055100,21049022,993922,81593,1
439,20096104,21089542,993438,81160,1
440,20136747,21130633,993886,81447,1
441,20177107,21171166,994059,80980,1
442,20217560,21211620,994060,80902,1
443,20258013,21252148,994135,80907,1
444,20298397,21292684,994287,81095,1
445,20338960,21333239,994279,81156,1
446,20379566,21373634,994068,80840,1
447,20420015,21414253,994238,81172,1
448,20460572,21454635,994063,80794,1
449,20500989,21495047,994058,81422,1
450,20542004,21535525,993521,81047,1
451,20582576,21576067,993491,80994,1
452,20623032,21616632,993600,81061,1
453,20663532,21657125,993593,80984,1
454,20704027,21697535,993508,80949,1
455,20744571,21738772,994201,81545,1
456,20784882,21779087,994205,80846,1
457,20825418,21819652,994234,80922,1
458,20865779,21860121,994342,80984,1
459,20906298,21900728,994430,80953,1
460,20946647,21941171,994524,80844,1
461,20987053,21981538,994485,80888,1
462,21027577,22022194,994617,81189,1
463,21068113,22062701,994588,81006,1
