it,start,end,latency,execution,sol
1,0,48359,48359,62597,1
2,14265,79461,65196,50140,1
3,33330,110297,76967,42797,1
4,45295,141233,95938,43003,1
5,57365,172489,115124,42766,1
6,68879,203819,134940,42759,1
7,80311,235343,155032,43003,1
8,91794,266095,174301,42192,1
9,103237,296692,193455,42024,1
10,114667,328975,214308,43754,1
11,126141,357433,231292,39930,1
12,137616,385759,248143,39920,1
13,149214,414125,264911,38006,1
14,158860,442686,283826,40167,1
15,170470,471176,300706,38131,1
16,180114,499646,319532,38106,1
17,189754,535598,345844,47627,1
18,201432,556747,355315,30858,1
19,211144,577878,366734,30950,1
20,220966,599329,378363,33152,1
21,232671,620839,388168,31051,1
22,242219,642178,399959,30836,1
23,251722,674821,423099,44047,1
24,263130,695911,432781,30603,1
25,272645,705545,432900,33557,1
26,296572,726704,430132,51439,1
27,326855,747840,420985,49582,1
28,355304,768898,413594,49497,1
29,383745,790072,406327,49528,1
30,412103,811184,399081,49621,1
31,440616,832329,391713,49610,1
32,469084,853449,384365,49569,1
33,497536,874527,376991,49497,1
34,525958,895633,369675,42242,1
35,547098,928342,381244,53866,1
36,568258,937957,369699,30755,1
37,589401,970560,381159,54231,1
38,611033,991668,380635,42523,1
39,632451,1001340,368889,30922,1
40,653705,1022431,368726,42162,1
41,674780,1054992,380212,53678,1
42,695901,1064646,368745,30785,1
43,717036,1085783,368747,42248,1
44,738151,1106833,368682,42160,1
45,759265,1139462,380197,53770,1
46,780410,1160613,380203,42262,1
47,801524,1181765,380241,42259,1
48,822634,1203338,380704,42746,1
49,843810,1213030,369220,30802,1
50,864923,1245871,380948,53958,1
51,886044,1255568,369524,30800,1
52,907150,1288178,381028,53787,1
53,928331,1309301,380970,42225,1
54,949437,1318943,369506,30744,1
55,970542,1352385,381843,54542,1
56,991646,1373413,381767,42158,1
57,1012780,1394600,381820,42289,1
58,1033886,1415806,381920,42307,1
59,1054989,1436943,381954,42269,1
60,1076125,1457981,381856,42146,1
61,1097236,1467617,370381,30737,1
62,1118341,1488713,370372,42196,1
63,1139445,1509811,370366,42227,1
64,1160577,1530956,370379,42276,1
65,1181712,1552059,370347,42710,1
66,1203329,1573157,369828,42457,1
67,1224693,1605750,381057,53767,1
68,1245869,1626855,380986,42235,1
69,1267009,1648002,380993,42302,1
70,1288168,1657631,369463,30729,1
71,1309271,1678728,369457,42684,1
72,1330865,1711305,380440,53939,1
73,1352231,1720974,368743,30760,1
74,1373325,1742015,368690,42280,1
75,1394570,1774659,380089,53714,1
76,1415643,1795804,380161,42342,1
77,1436844,1817505,380661,42796,1
78,1457942,1838805,380863,42409,1
79,1479054,1848500,369446,30827,1
80,1500189,1869613,369424,30753,1
81,1521294,1890641,369347,42130,1
82,1542400,1911828,369428,42284,1
83,1563501,1944423,380922,53730,1
84,1584640,1954019,369379,30691,1
85,1605739,1975152,369413,42240,1
86,1626848,2007772,380924,53749,1
87,1647981,2028873,380892,42203,1
88,1669086,2049967,380881,42196,1
89,1690191,2059595,369404,30729,1
90,1711295,2080741,369446,42281,1
91,1732434,2113358,380924,53714,1
92,1753535,2123021,369486,30766,1
93,1774641,2155572,380931,53682,1
94,1795776,2165200,369424,31350,1
95,1817502,2186345,368843,42402,1
96,1838763,2207560,368797,42409,1
97,1859960,2228617,368657,42159,1
98,1881065,2249777,368712,42296,1
99,1902205,2270896,368691,42188,1
100,1923277,2291953,368676,42188,1
101,1944411,2313118,368707,42266,1
102,1965516,2334238,368722,42222,1
103,1986622,2355389,368767,42279,1
104,2007754,2376491,368737,30775,1
105,2028860,2397585,368725,42195,1
106,2049965,2430812,380847,54327,1
107,2071069,2452159,381090,42482,1
108,2092208,2461802,369594,30780,1
109,2113347,2482897,369550,42207,1
110,2134462,2515483,381021,53688,1
111,2155568,2536628,381060,42276,1
112,2176703,2546238,369535,30712,1
113,2197807,2578817,381010,53762,1
114,2218994,2599994,381000,42310,1
115,2240129,2621163,381034,42272,1
116,2261235,2642254,381019,42193,1
117,2282340,2663368,381028,42215,1
118,2303445,2684513,381068,42276,1
119,2324580,2694123,369543,30741,1
120,2345715,2715251,369536,42228,1
121,2366819,2736343,369524,42252,1
122,2387982,2757488,369506,42672,1
123,2409515,2778528,369013,42314,1
124,2430793,2811146,380353,53977,1
125,2452155,2820769,368614,30720,1
126,2473254,2841899,368645,42234,1
127,2494362,2863054,368692,42260,1
128,2515471,2884170,368699,42245,1
129,2536603,2905268,368665,42197,1
130,2557704,2926379,368675,42215,1
131,2578812,2947558,368746,42346,1
132,2599981,2968684,368703,42274,1
