step,start,end,latency,execution
1,0,117151,117151,131843
2,14772,157814,143042,50439
3,24565,198087,173522,50436
4,34736,238258,203522,49797
5,44366,277967,233601,53053
6,57715,317735,260020,53927
7,71878,357426,285548,53847
8,86039,397079,311040,50846
9,97236,436730,339494,49511
10,107099,476404,369305,49571
11,117000,516226,399226,49700
12,126881,555867,428986,49541
13,136784,595551,458767,49564
14,146667,635852,489185,50155
15,156525,675848,519323,49735
16,166269,715868,549599,49771
17,176025,755784,579759,49682
18,185796,795425,609629,49398
19,195557,835072,639515,49366
20,205281,874866,669585,49574
21,215065,914638,699573,49529
22,224826,954258,729432,49387
23,234597,993821,759224,60844
24,255885,1033493,777608,73098
25,289316,1073377,784061,70668
26,320106,1113074,792968,71950
27,352364,1152598,800234,72964
28,385809,1192055,806246,72816
29,419176,1232475,813299,73920
30,452684,1271981,819297,72078
31,485264,1311487,826223,70463
32,516228,1351017,834789,72436
33,549155,1390652,841497,73105
34,582633,1430214,847581,73704
35,616785,1469755,852970,73180
36,650433,1509295,858862,71985
37,682886,1548810,865924,70745
38,714124,1588324,874200,73121
39,747740,1627838,880098,73018
40,781252,1667300,886048,72970
41,814768,1706814,892046,73007
42,848268,1746295,898027,71003
43,879797,1785837,906040,70818
44,911081,1825936,914855,73523
45,944513,1865839,921326,73354
46,977973,1905829,927856,73556
47,1011547,1945741,934194,73352
48,1044995,1985365,940370,70768
49,1076147,2024878,948731,71602
50,1108244,2064433,956189,73021
51,1141718,2103920,962202,78787
52,1181026,2143556,962530,79890
53,1221288,2183329,962041,79264
54,1260788,2222978,962190,79285
55,1300432,2262528,962096,79113
56,1340002,2301996,961994,78841
57,1379383,2341484,962101,79369
58,1419272,2381030,961758,78979
59,1458713,2421050,962337,79455
60,1498157,2461032,962875,79594
61,1537777,2500959,963182,79350
62,1577209,2540812,963603,79331
63,1616695,2580436,963741,79209
64,1656288,2619954,963666,79023
65,1695802,2659466,963664,78837
66,1735135,2699009,963874,79069
67,1774669,2738549,963880,79638
68,1814775,2778008,963233,79255
69,1854579,2817550,962971,79566
70,1894621,2857033,962412,79436
71,1934582,2896521,961939,79148
72,1974251,2936034,961783,78983
73,2013729,2975498,961769,79124
74,2053397,3015277,961880,79193
75,2092819,3055024,962205,79400
76,2132480,3094904,962424,79620
77,2172228,3134788,962560,79493
78,2211846,3174542,962696,79306
79,2251406,3214053,962647,78926
80,2290830,3253568,962738,79125
81,2330448,3293084,962636,78883
82,2369823,3332594,962771,79470
83,2409791,3372082,962291,79344
84,2449655,3411596,961941,79677
85,2489826,3451055,961229,79176
86,2529551,3490645,961094,79393
87,2569362,3530278,960916,79061
88,2608798,3569834,961036,79076
89,2648327,3609767,961440,79481
90,2687882,3649620,961738,79447
91,2727484,3689476,961992,79296
92,2766932,3729361,962429,79349
93,2806404,3769133,962729,79367
94,2846007,3808645,962638,78938
95,2885441,3848160,962719,78930
96,2924864,3887644,962780,79037
97,2964426,3927077,962651,78955
98,3003956,3966619,962663,79287
99,3043709,4006122,962413,79441
100,3083656,4045837,962181,79749
101,3123699,4085520,961821,79479
102,3163504,4125029,961525,78924
103,3202927,4164623,961696,79145
104,3242486,4204521,962035,79396
105,3281992,4244562,962570,79447
106,3321405,4284508,963103,79489
107,3360956,4324390,963434,79423
108,3400505,4364124,963619,79265
109,3440045,4403671,963626,78842
110,3479349,4443184,963835,79330
111,3519174,4482754,963580,79084
112,3558696,4522241,963545,79070
113,3598288,4561752,963464,79725
114,3638510,4601218,962708,79165
115,3678218,4640678,962460,79443
116,3718210,4680193,961983,79329
117,3758033,4719731,961698,79085
118,3797589,4759244,961655,79049
119,3837133,4798818,961685,78844
120,3876412,4839018,962606,79712
121,3915932,4878757,962825,79356
122,3955557,4918697,963140,79477
123,3995102,4958604,963502,79385
124,4034588,4998145,963557,79295
125,4074350,5037729,963379,79009
