it,start,end,latency,sol
1,0,86285,86285,1
2,10033,128243,118210,1
3,20038,170268,150230,1
4,30051,212250,182199,1
5,40054,254276,214222,1
6,50057,296296,246239,1
7,60060,338301,278241,1
8,70063,380303,310240,1
9,80066,422305,342239,1
10,90069,464314,374245,1
11,100072,506310,406238,1
12,110075,548315,438240,1
13,120077,590323,470246,1
14,130079,632342,502263,1
15,140081,674296,534215,1
16,150083,716356,566273,1
17,160085,758344,598259,1
18,170087,800364,630277,1
19,180089,842367,662278,1
20,190091,884375,694284,1
21,224220,926375,702155,1
22,266232,968366,702134,1
23,308239,1010349,702110,1
24,350238,1052381,702143,1
25,392242,1094388,702146,1
26,434245,1136389,702144,1
27,476247,1178392,702145,1
28,518250,1220432,702182,1
29,560255,1262357,702102,1
30,602298,1304404,702106,1
31,644259,1346418,702159,1
32,686293,1388423,702130,1
33,728291,1430428,702137,1
34,770298,1472414,702116,1
35,812303,1514430,702127,1
36,854307,1556432,702125,1
37,896310,1598445,702135,1
38,938322,1640413,702091,1
39,980293,1682442,702149,1
40,1022318,1724423,702105,1
41,1064326,1766443,702117,1
42,1106325,1808425,702100,1
43,1148329,1850487,702158,1
44,1190343,1892441,702098,1
45,1232336,1934479,702143,1
46,1274339,1976482,702143,1
47,1316355,2018480,702125,1
48,1358360,2060475,702115,1
49,1400388,2102494,702106,1
50,1442351,2144494,702143,1
51,1484367,2186477,702110,1
52,1526372,2228500,702128,1
53,1568374,2270430,702056,1
54,1610377,2312507,702130,1
55,1652382,2354510,702128,1
56,1694381,2396516,702135,1
57,1736371,2438512,702141,1
58,1778390,2480514,702124,1
59,1820445,2522516,702071,1
60,1862404,2564518,702114,1
61,1904417,2606514,702097,1
62,1946431,2648520,702089,1
63,1988416,2690552,702136,1
64,2030412,2732538,702126,1
65,2072428,2774542,702114,1
66,2114431,2816510,702079,1
67,2156421,2858559,702138,1
68,2198455,2900576,702121,1
69,2240422,2942539,702117,1
70,2282450,2984575,702125,1
71,2324446,3026572,702126,1
72,2366449,3068554,702105,1
73,2408457,3110565,702108,1
74,2450476,3152559,702083,1
75,2492460,3194570,702110,1
76,2534461,3236573,702112,1
77,2576472,3278580,702108,1
78,2618483,3320593,702110,1
79,2660486,3362598,702112,1
80,2702488,3404601,702113,1
81,2744477,3446590,702113,1
82,2786482,3488580,702098,1
83,2828497,3530594,702097,1
84,2870500,3572600,702100,1
85,2912503,3614574,702071,1
86,2954521,3656620,702099,1
87,2996496,3698608,702112,1
88,3038513,3740612,702099,1
89,3080529,3782607,702078,1
90,3122497,3824595,702098,1
91,3164510,3866633,702123,1
