it,start,end,latency,sol
1,0,58148,58148,1
2,15891,87462,71571,1
3,28123,116881,88758,1
4,39982,146141,106159,1
5,51882,175511,123629,1
6,63879,204913,141034,1
7,75654,234065,158411,1
8,87451,263137,175686,1
9,99161,292109,192948,1
10,110903,320829,209926,1
11,122673,349436,226763,1
12,134384,378227,243843,1
13,146185,406909,260724,1
14,155942,435645,279703,1
15,167684,464252,296568,1
16,177494,493151,315657,1
17,187287,522040,334753,1
18,199024,550811,351787,1
19,208835,579908,371073,1
20,218566,608777,390211,1
21,230293,638002,407709,1
22,239980,666918,426938,1
23,249600,695896,446296,1
24,261373,724942,463569,1
25,282226,753496,471270,1
26,310887,782287,471400,1
27,339558,810968,471410,1
28,368266,839725,471459,1
29,397012,868429,471417,1
30,425722,897121,471399,1
31,454436,925751,471315,1
32,483214,954463,471249,1
33,512096,983183,471087,1
34,540888,1011907,471019,1
35,569839,1040637,470798,1
36,598852,1069354,470502,1
37,628091,1098006,469915,1
38,657101,1126650,469549,1
39,686073,1155445,469372,1
40,715011,1184088,469077,1
41,743670,1213419,469749,1
42,772367,1242273,469906,1
43,801110,1271123,470013,1
44,829810,1299735,469925,1
45,858518,1328457,469939,1
46,887170,1357221,470051,1
47,915850,1385969,470119,1
48,944558,1414637,470079,1
49,973301,1443403,470102,1
50,1001999,1472102,470103,1
51,1030738,1500731,469993,1
52,1059416,1529676,470260,1
53,1088101,1558497,470396,1
54,1116797,1587280,470483,1
55,1145521,1616044,470523,1
56,1174234,1644668,470434,1
57,1203447,1673348,469901,1
58,1232366,1702103,469737,1
59,1261227,1730883,469656,1
60,1289910,1759510,469600,1
61,1318589,1788285,469696,1
62,1347269,1817653,470384,1
63,1376040,1846474,470434,1
64,1404778,1875374,470596,1
65,1433520,1904126,470606,1
66,1462233,1932876,470643,1
67,1490883,1961541,470658,1
68,1519766,1990217,470451,1
69,1548561,2018938,470377,1
70,1577426,2047679,470253,1
71,1606120,2076336,470216,1
72,1634799,2105028,470229,1
73,1663482,2133706,470224,1
74,1692260,2162406,470146,1
75,1720983,2191118,470135,1
76,1749680,2219866,470186,1
77,1778390,2248504,470114,1
78,1807703,2277288,469585,1
79,1836615,2305956,469341,1
80,1865471,2334610,469139,1
81,1894261,2363308,469047,1
82,1922922,2392023,469101,1
83,1951608,2421383,469775,1
84,1980316,2450134,469818,1
85,2009085,2478815,469730,1
86,2037794,2507512,469718,1
87,2066471,2536314,469843,1
88,2095146,2565023,469877,1
89,2123827,2593741,469914,1
90,2152520,2622403,469883,1
91,2181290,2651298,470008,1
92,2209998,2679922,469924,1
93,2238686,2708681,469995,1
94,2267336,2737307,469971,1
95,2296014,2766055,470041,1
96,2324712,2794785,470073,1
97,2353454,2823482,470028,1
98,2382163,2852139,469976,1
99,2411482,2880875,469393,1
100,2440223,2909543,469320,1
101,2469018,2938229,469211,1
102,2497682,2966879,469197,1
103,2526391,2995665,469274,1
104,2555070,3024931,469861,1
105,2583808,3053705,469897,1
106,2612517,3082391,469874,1
107,2641374,3111100,469726,1
108,2670045,3139837,469792,1
109,2698783,3168528,469745,1
110,2727461,3197230,469769,1
111,2756156,3225988,469832,1
112,2784896,3254620,469724,1
113,2813607,3283220,469613,1
114,2842316,3311921,469605,1
115,2870956,3340716,469760,1
116,2899648,3369466,469818,1
117,2928344,3398211,469867,1
118,2957087,3426958,469871,1
119,2985793,3455877,470084,1
120,3015095,3484549,469454,1
121,3043817,3513406,469589,1
122,3072500,3542252,469752,1
123,3101224,3571076,469852,1
124,3129920,3599890,469970,1
125,3158629,3629408,470779,1
126,3187308,3658303,470995,1
127,3216067,3687419,471352,1
128,3244739,3716352,471613,1
129,3273438,3745050,471612,1
130,3302129,3773753,471624,1
131,3330790,3802520,471730,1
132,3359563,3831234,471671,1
133,3388272,3859918,471646,1
134,3417077,3888580,471503,1
135,3445909,3917241,471332,1
136,3474758,3945962,471204,1
137,3503475,3974710,471235,1
138,3532327,4003317,470990,1
139,3561201,4032118,470917,1
140,3590011,4060775,470764,1
141,3619446,4089455,470009,1
142,3648418,4118167,469749,1
143,3677538,4146819,469281,1
144,3706507,4175519,469012,1
145,3735162,4204396,469234,1
146,3763863,4233437,469574,1
147,3792567,4262141,469574,1
148,3821311,4290825,469514,1
149,3850012,4319521,469509,1
150,3878695,4348178,469483,1
151,3907341,4376873,469532,1
152,3936050,4405666,469616,1
153,3964760,4434316,469556,1
154,3993503,4463060,469557,1
155,4022226,4491777,469551,1
156,4050880,4520413,469533,1
157,4079525,4549200,469675,1
158,4108213,4577916,469703,1
159,4136944,4606598,469654,1
160,4165666,4635301,469635,1
161,4194451,4664002,469551,1
162,4223467,4692623,469156,1
163,4252189,4721364,469175,1
164,4280904,4750058,469154,1
165,4309598,4778857,469259,1
166,4338294,4807639,469345,1
167,4366992,4836558,469566,1
168,4395711,4865268,469557,1
169,4424409,4893951,469542,1
170,4453152,4922629,469477,1
171,4481888,4951390,469502,1
172,4510600,4980061,469461,1
173,4539276,5008763,469487,1
174,4567974,5037451,469477,1
175,4596672,5067079,470407,1
176,4625430,5096592,471162,1
177,4654114,5125753,471639,1
178,4682763,5155050,472287,1
179,4711422,5184406,472984,1
180,4740126,5213753,473627,1
181,4768947,5242825,473878,1
182,4797653,5271959,474306,1
183,4826704,5301065,474361,1
184,4855364,5330196,474832,1
185,4884055,5359238,475183,1
186,4912750,5388395,475645,1
187,4941481,5418014,476533,1
188,4970178,5447087,476909,1
189,4998855,5476384,477529,1
190,5027540,5505498,477958,1
191,5057511,5534398,476887,1
192,5535435,5609008,73573,2
193,5556696,5638832,82136,2
194,5578619,5668663,90044,2
195,5600740,5698449,97709,2
196,5622620,5728424,105804,2
197,5644498,5758261,113763,2
198,5666496,5788044,121548,2
199,5688386,5817890,129504,2
200,5710290,5847787,137497,2
201,5732211,5877647,145436,2
202,5754162,5907541,153379,2
203,5776070,5937423,161353,2
204,5797978,5967250,169272,2
205,5819914,5997061,177147,2
206,5841851,6027068,185217,2
207,5863752,6056904,193152,2
208,5885658,6086720,201062,2
209,5907637,6116605,208968,2
210,5929533,6146420,216887,2
211,5951436,6176319,224883,2
212,5973340,6206268,232928,2
213,5995313,6236076,240763,2
214,6017230,6265904,248674,2
215,6039140,6295791,256651,2
216,6061056,6325581,264525,2
217,6082982,6355477,272495,2
218,6104886,6385388,280502,2
219,6126789,6415137,288348,2
220,6146763,6444891,298128,2
221,6168667,6474575,305908,2
222,6190578,6504438,313860,2
223,6210480,6534187,323707,2
224,6232437,6563978,331541,2
225,6254339,6593791,339452,2
226,6276239,6623592,347353,2
227,6296199,6653533,357334,2
228,6318099,6683190,365091,2
229,6339999,6712835,372836,2
230,6365289,6742630,377341,2
231,6395059,6772419,377360,2
232,6424834,6802133,377299,2
233,6454606,6831945,377339,2
234,6484380,6861666,377286,2
235,6514130,6891516,377386,2
236,6543900,6921224,377324,2
237,6573703,6951016,377313,2
238,6603448,6980729,377281,2
239,6633370,7010530,377160,2
240,6663092,7040429,377337,2
241,6692841,7070139,377298,2
242,6722557,7099895,377338,2
243,6752296,7129644,377348,2
244,6782073,7159355,377282,2
245,6811829,7189218,377389,2
246,6841606,7219053,377447,2
247,6871391,7248879,377488,2
248,6901155,7278611,377456,2
249,6930925,7308554,377629,2
250,6960696,7338225,377529,2
251,6990470,7367870,377400,2
252,7020256,7397823,377567,2
253,7050034,7427603,377569,2
254,7079792,7457345,377553,2
255,7109559,7487118,377559,2
256,7139343,7516987,377644,2
257,7169120,7546617,377497,2
258,7198890,7576386,377496,2
259,7228855,7606161,377306,2
260,7258605,7635980,377375,2
261,7288403,7665838,377435,2
262,7318164,7695569,377405,2
263,7347901,7725402,377501,2
264,7377725,7755125,377400,2
265,7407467,7784920,377453,2
266,7437231,7814749,377518,2
267,7467058,7844654,377596,2
268,7496862,7874480,377618,2
269,7526608,7904296,377688,2
270,7556365,7934152,377787,2
271,7586146,7963975,377829,2
272,7615928,7993671,377743,2
273,7645702,8023431,377729,2
274,7675512,8053275,377763,2
275,7705286,8082955,377669,2
276,7735048,8112703,377655,2
277,7764839,8142435,377596,2
278,7794583,8172211,377628,2
279,7824541,8201916,377375,2
280,7854388,8231615,377227,2
281,7884227,8261485,377258,2
282,7914067,8291177,377110,2
283,7943827,8320977,377150,2
284,7973578,8350758,377180,2
285,8003377,8380500,377123,2
286,8033125,8410280,377155,2
287,8062859,8440228,377369,2
288,8092603,8470117,377514,2
289,8122350,8499939,377589,2
290,8152122,8529656,377534,2
291,8181868,8559497,377629,2
292,8211648,8589250,377602,2
293,8241422,8618896,377474,2
294,8271172,8648919,377747,2
295,8300942,8678599,377657,2
296,8330701,8708491,377790,2
297,8360470,8738252,377782,2
298,8390244,8767986,377742,2
299,8420178,8797761,377583,2
300,8450018,8827490,377472,2
301,8479847,8857258,377411,2
302,8509624,8886921,377297,2
303,8539410,8916724,377314,2
304,8569176,8946370,377194,2
305,8598972,8976215,377243,2
306,8628741,9005946,377205,2
307,8658546,9036192,377646,2
308,8688344,9065955,377611,2
309,8718151,9095765,377614,2
310,8747922,9125546,377624,2
311,8777679,9155366,377687,2
312,8807419,9185116,377697,2
313,8837166,9214768,377602,2
314,8866858,9244698,377840,2
315,8896603,9274472,377869,2
316,8926322,9304059,377737,2
317,8956106,9333923,377817,2
318,8985841,9363720,377879,2
319,9016078,9393584,377506,2
320,9045898,9423312,377414,2
321,9075687,9453196,377509,2
322,9105484,9483009,377525,2
323,9135211,9512783,377572,2
324,9165022,9542487,377465,2
325,9194765,9572243,377478,2
326,9224551,9602041,377490,2
327,9254359,9631825,377466,2
328,9284104,9661606,377502,2
329,9313848,9691404,377556,2
330,9343627,9721194,377567,2
331,9373532,9750963,377431,2
332,9403289,9780829,377540,2
333,9433160,9810733,377573,2
334,9462928,9840512,377584,2
335,9492699,9870223,377524,2
336,9522443,9900020,377577,2
337,9552207,9929868,377661,2
338,9581953,9959588,377635,2
339,9611712,9989490,377778,2
340,9641587,10019175,377588,2
341,9671318,10048942,377624,2
342,9701116,10078704,377588,2
343,9730932,10108477,377545,2
344,9760805,10138294,377489,2
345,9790679,10167900,377221,2
346,9820480,10197863,377383,2
347,9850251,10227593,377342,2
348,9880019,10257574,377555,2
349,9909793,10287486,377693,2
350,9939555,10317205,377650,2
351,9969325,10346894,377569,2
352,9999113,10376626,377513,2
353,10028888,10406364,377476,2
354,10058631,10436179,377548,2
355,10088376,10465989,377613,2
356,10118160,10495709,377549,2
357,10147929,10525536,377607,2
358,10177722,10555305,377583,2
359,10207493,10585124,377631,2
360,10237540,10615055,377515,2
361,10267354,10645053,377699,2
362,10297120,10675016,377896,2
363,10326833,10705029,378196,2
364,10356594,10734952,378358,2
365,10386339,10764698,378359,2
366,10416097,10794595,378498,2
367,10445871,10824456,378585,2
368,10475635,10854572,378937,2
369,10505431,10884380,378949,2
370,10535236,10914278,379042,2
371,10565021,10944056,379035,2
372,10595402,10973103,377701,2
373,10973989,11028654,54665,1
374,10983485,11058241,74756,1
375,10997537,11087560,90023,1
376,11009308,11116872,107564,1
377,11021348,11145945,124597,1
378,11033282,11174978,141696,1
379,11045027,11204164,159137,1
380,11056796,11233217,176421,1
381,11068534,11262045,193511,1
