it,start,end,latency,sol
218,6693861,6807268,113407,2
219,6733170,6846412,113242,2
220,6772400,6885667,113267,2
221,6811745,6924800,113055,2
222,6850973,6964306,113333,2
223,6890267,7003684,113417,2
224,6929672,7043005,113333,2
225,6968991,7082391,113400,2
226,7008334,7121657,113323,2
227,7047627,7174317,126690,2
228,7087021,7197627,110606,2
229,7126356,7239932,113576,2
230,7165652,7279189,113537,2
231,7204833,7318596,113763,2
232,7244658,7358132,113474,2
233,7284029,7397326,113297,2
234,7323360,7436371,113011,2
235,7362476,7475708,113232,2
236,7401787,7514953,113166,2
237,7441007,7554297,113290,2
238,7480310,7593546,113236,2
239,7519597,7632767,113170,2
240,7558917,7672116,113199,2
241,7598194,7711486,113292,2
242,7637477,7750739,113262,2
243,7676775,7790041,113266,2
244,7716070,7829587,113517,2
245,7755271,7869082,113811,2
246,7794679,7908955,114276,2
247,7834208,7948589,114381,2
248,7873983,7987841,113858,2
249,7913786,8042386,128600,2
250,7953437,8063036,109599,2
251,7992637,8106348,113711,2
252,8032300,8145641,113341,2
253,8071603,8184914,113311,2
254,8111036,8224254,113218,2
255,8150337,8263539,113202,2
256,8189594,8302870,113276,2
257,8228829,8342098,113269,2
258,8268046,8381295,113249,2
259,8307351,8420637,113286,2
260,8346637,8460037,113400,2
261,8385869,8499547,113678,2
262,8425505,8538890,113385,2
263,8464852,8578217,113365,2
264,8504150,8617377,113227,2
265,8543503,8656618,113115,2
266,8582722,8695902,113180,2
267,8622016,8735197,113181,2
268,8661296,8774570,113274,2
269,8700611,8814040,113429,2
270,8739962,8853270,113308,2
271,8779242,8892564,113322,2
272,8818617,8946308,127691,2
273,8858001,8968694,110693,2
274,8897385,9010780,113395,2
275,8936755,9050453,113698,2
276,8976016,9089631,113615,2
277,9015588,9129008,113420,2
278,9055020,9168339,113319,2
279,9094389,9207613,113224,2
280,9133664,9246964,113300,2
281,9172899,9286181,113282,2
282,9212229,9325577,113348,2
283,9251515,9365084,113569,2
284,9290804,9404290,113486,2
285,9330152,9443774,113622,2
286,9369725,9482819,113094,2
287,9408968,9522207,113239,2
288,9448278,9561500,113222,2
289,9487499,9600771,113272,2
290,9526844,9640373,113529,2
291,9566105,9679800,113695,2
292,9605370,9719102,113732,2
293,9645059,9758387,113328,2
294,9684359,9797824,113465,2
295,9723670,9836916,113246,2
296,9762956,9876179,113223,2
297,9802247,9915411,113164,2
298,9841511,9954667,113156,2
299,9880628,9993911,113283,2
300,9919921,10033291,113370,2
301,9959288,10072480,113192,2
302,9998614,10111943,113329,2
303,10037971,10151298,113327,2
304,10077310,10190585,113275,2
305,10116541,10229971,113430,2
306,10155908,10269197,113289,2
307,10195224,10308554,113330,2
308,10234592,10347990,113398,2
309,10273946,10387114,113168,2
310,10313210,10426533,113323,2
311,10352421,10465749,113328,2
312,10391728,10505056,113328,2
313,10431108,10544535,113427,2
314,10470488,10599535,129047,2
315,10509747,10633600,123853,2
316,10549392,10655923,106531,2
317,10656790,10732503,75713,1
318,10666739,10783603,116864,1
319,10682575,10819091,136516,1
320,10709480,10854595,145115,1
321,10719342,10889435,170093,1
322,10745237,10924508,179271,1
323,10755057,10955921,200864,1
324,10780882,10991047,210165,1
325,10806733,11042132,235399,1
326,10816661,11077071,260410,1
327,10846731,11112083,265352,1
328,10856547,11147278,290731,1
329,10882284,11189968,307684,1
330,10908002,11235262,327260,1
331,10933609,11264095,330486,1
332,10943349,11292850,349501,1
333,10969140,11321726,352586,1
334,10979024,11350520,371496,1
335,11004750,11379294,374544,1
336,11030545,11408048,377503,1
337,11040253,11436835,396582,1
338,11065976,11465670,399694,1
339,11075663,11494642,418979,1
340,11101402,11523328,421926,1
341,11127137,11552185,425048,1
342,11136834,11581048,444214,1
343,11146651,11609925,463274,1
344,11172361,11638752,466391,1
345,11198134,11667654,469520,1
346,11221161,11696410,475249,1
347,11240021,11725175,485154,1
348,11268793,11754060,485267,1
349,11297650,11782877,485227,1
350,11326483,11811642,485159,1
351,11355218,11840483,485265,1
352,11383986,11869344,485358,1
353,11412735,11898033,485298,1
354,11441654,11926932,485278,1
355,11470511,11955759,485248,1
356,11499305,11984470,485165,1
357,11528116,12013380,485264,1
358,11556953,12042247,485294,1
359,11585857,12071112,485255,1
360,11614644,12099874,485230,1
361,11643603,12128628,485025,1
362,11672394,12157491,485097,1
363,11701108,12186263,485155,1
364,11730002,12215173,485171,1
365,11758838,12244038,485200,1
366,11787586,12272859,485273,1
367,11816404,12301621,485217,1
368,11845271,12330413,485142,1
369,11874069,12359195,485126,1
370,11902867,12387946,485079,1
371,11931666,12416874,485208,1
372,11960467,12445629,485162,1
373,11989331,12474558,485227,1
374,12018111,12503383,485272,1
375,12046971,12532185,485214,1
376,12075776,12561049,485273,1
377,12104556,12589782,485226,1
378,12133414,12618507,485093,1
379,12162251,12647323,485072,1
380,12191114,12676114,485000,1
381,12219933,12704737,484804,1
382,12248779,12733655,484876,1
383,12277554,12762464,484910,1
384,12306382,12791216,484834,1
385,12335160,12820049,484889,1
386,12363905,12848797,484892,1
387,12392763,12877663,484900,1
388,12421551,12906485,484934,1
389,12450400,12935370,484970,1
390,12479311,12964065,484754,1
391,12508127,12992935,484808,1
392,12536929,13021737,484808,1
393,12565687,13050647,484960,1
394,12594449,13079449,485000,1
395,12623216,13108263,485047,1
396,12651980,13136968,484988,1
397,12680764,13165941,485177,1
398,12709593,13194812,485219,1
399,12738416,13223589,485173,1
400,12767191,13252426,485235,1
401,12796009,13281298,485289,1
402,12824776,13310040,485264,1
403,12853581,13338853,485272,1
404,12882391,13367685,485294,1
405,12911297,13396522,485225,1
406,12940085,13425268,485183,1
407,12968914,13454077,485163,1
408,12997714,13482936,485222,1
409,13026522,13511762,485240,1
410,13055370,13540481,485111,1
411,13084225,13569369,485144,1
412,13112962,13598185,485223,1
413,13141869,13627069,485200,1
414,13170742,13655928,485186,1
415,13199526,13684780,485254,1
416,13228338,13713545,485207,1
417,13257142,13742415,485273,1
418,13286010,13771073,485063,1
419,13314806,13799977,485171,1
420,13343593,13828809,485216,1
421,13372382,13857581,485199,1
422,13401268,13886304,485036,1
423,13430041,13915219,485178,1
424,13458842,13944021,485179,1
425,13487692,13972959,485267,1
426,13516447,14001767,485320,1
427,13545278,14030621,485343,1
428,13574109,14059437,485328,1
429,13602941,14088178,485237,1
430,13631790,14117054,485264,1
431,13660680,14145888,485208,1
432,13689551,14174709,485158,1
433,13718315,14203446,485131,1
434,13747037,14232256,485219,1
435,13775900,14261098,485198,1
436,13804709,14289856,485147,1
437,13833479,14318675,485196,1
438,13862306,14347447,485141,1
439,13891171,14376351,485180,1
440,13919962,14405177,485215,1
441,13948838,14433932,485094,1
442,13977718,14462793,485075,1
443,14006553,14491661,485108,1
444,14035291,14520453,485162,1
445,14064146,14549271,485125,1
446,14092979,14578106,485127,1
447,14121814,14606868,485054,1
448,14150637,14635669,485032,1
449,14179450,14664549,485099,1
450,14208243,14693437,485194,1
451,14236976,14722302,485326,1
452,14265773,14750995,485222,1
453,14294595,14779831,485236,1
454,14323390,14808726,485336,1
455,14352275,14837687,485412,1
456,14381054,14866546,485492,1
457,14409924,14895296,485372,1
458,14438717,14924070,485353,1
459,14467564,14952875,485311,1
460,14496398,14981770,485372,1
461,14525133,15010607,485474,1
462,14554027,15039482,485455,1
463,14582801,15068313,485512,1
464,14611598,15097070,485472,1
465,14640462,15125931,485469,1
466,14669369,15154759,485390,1
467,14698181,15183431,485250,1
468,14726918,15212174,485256,1
469,14755731,15241026,485295,1
470,14784518,15269922,485404,1
471,14813535,15298652,485117,1
472,14842461,15327397,484936,1
473,14871200,15356090,484890,1
474,14900036,15384975,484939,1
475,14928798,15413867,485069,1
476,14957669,15442567,484898,1
477,14986497,15471524,485027,1
478,15015376,15500312,484936,1
479,15044219,15529126,484907,1
480,15073004,15558023,485019,1
481,15101813,15586821,485008,1
482,15130624,15615639,485015,1
483,15159342,15644513,485171,1
484,15188133,15673248,485115,1
485,15216977,15702109,485132,1
486,15245769,15730903,485134,1
487,15274579,15759801,485222,1
488,15303334,15788568,485234,1
489,15332073,15817387,485314,1
490,15360932,15846297,485365,1
491,15389751,15875026,485275,1
492,15418592,15903854,485262,1
493,15447385,15932622,485237,1
494,15476196,15961545,485349,1
