it,start,end,latency,execution,sol
1,0,117151,117151,131843,1
2,14772,157814,143042,50439,1
3,24565,198087,173522,50436,1
4,34736,238258,203522,49797,1
5,44366,277967,233601,53053,1
6,57715,317735,260020,53927,1
7,71878,357426,285548,53847,1
8,86039,397079,311040,50846,1
9,97236,436730,339494,49511,1
10,107099,476404,369305,49571,1
11,117000,516226,399226,49700,1
12,126881,555867,428986,49541,1
13,136784,595551,458767,49564,1
14,146667,635852,489185,50155,1
15,156525,675848,519323,49735,1
16,166269,715868,549599,49771,1
17,176025,755784,579759,49682,1
18,185796,795425,609629,49398,1
19,195557,835072,639515,49366,1
20,205281,874866,669585,49574,1
21,215065,914638,699573,49529,1
22,224826,954258,729432,49387,1
23,234597,993821,759224,60844,1
24,255885,1033493,777608,73098,1
25,289316,1073377,784061,70668,1
26,320106,1113074,792968,71950,1
27,352364,1152598,800234,72964,1
28,385809,1192055,806246,72816,1
29,419176,1232475,813299,73920,1
30,452684,1271981,819297,72078,1
31,485264,1311487,826223,70463,1
32,516228,1351017,834789,72436,1
33,549155,1390652,841497,73105,1
34,582633,1430214,847581,73704,1
35,616785,1469755,852970,73180,1
36,650433,1509295,858862,71985,1
37,682886,1548810,865924,70745,1
38,714124,1588324,874200,73121,1
39,747740,1627838,880098,73018,1
40,781252,1667300,886048,72970,1
41,814768,1706814,892046,73007,1
42,848268,1746295,898027,71003,1
43,879797,1785837,906040,70818,1
44,911081,1825936,914855,73523,1
45,944513,1865839,921326,73354,1
46,977973,1905829,927856,73556,1
47,1011547,1945741,934194,73352,1
48,1044995,1985365,940370,70768,1
49,1076147,2024878,948731,71602,1
50,1108244,2064433,956189,73021,1
51,1141718,2103920,962202,78787,1
52,1181026,2143556,962530,79890,1
53,1221288,2183329,962041,79264,1
54,1260788,2222978,962190,79285,1
55,1300432,2262528,962096,79113,1
56,1340002,2301996,961994,78841,1
57,1379383,2341484,962101,79369,1
58,1419272,2381030,961758,78979,1
59,1458713,2421050,962337,79455,1
60,1498157,2461032,962875,79594,1
61,1537777,2500959,963182,79350,1
62,1577209,2540812,963603,79331,1
63,1616695,2580436,963741,79209,1
64,1656288,2619954,963666,79023,1
65,1695802,2659466,963664,78837,1
66,1735135,2699009,963874,79069,1
67,1774669,2738549,963880,79638,1
68,1814775,2778008,963233,79255,1
69,1854579,2817550,962971,79566,1
70,1894621,2857033,962412,79436,1
71,1934582,2896521,961939,79148,1
72,1974251,2936034,961783,78983,1
73,2013729,2975498,961769,79124,1
74,2053397,3015277,961880,79193,1
75,2092819,3055024,962205,79400,1
76,2132480,3094904,962424,79620,1
77,2172228,3134788,962560,79493,1
78,2211846,3174542,962696,79306,1
79,2251406,3214053,962647,78926,1
80,2290830,3253568,962738,79125,1
81,2330448,3293084,962636,78883,1
82,2369823,3332594,962771,79470,1
83,2409791,3372082,962291,79344,1
84,2449655,3411596,961941,79677,1
85,2489826,3451055,961229,79176,1
86,2529551,3490645,961094,79393,1
87,2569362,3530278,960916,79061,1
88,2608798,3569834,961036,79076,1
89,2648327,3609767,961440,79481,1
90,2687882,3649620,961738,79447,1
91,2727484,3689476,961992,79296,1
92,2766932,3729361,962429,79349,1
93,2806404,3769133,962729,79367,1
94,2846007,3808645,962638,78938,1
95,2885441,3848160,962719,78930,1
96,2924864,3887644,962780,79037,1
97,2964426,3927077,962651,78955,1
98,3003956,3966619,962663,79287,1
99,3043709,4006122,962413,79441,1
100,3083656,4045837,962181,79749,1
101,3123699,4085520,961821,79479,1
102,3163504,4125029,961525,78924,1
103,3202927,4164623,961696,79145,1
104,3242486,4204521,962035,79396,1
105,3281992,4244562,962570,79447,1
106,3321405,4284508,963103,79489,1
107,3360956,4324390,963434,79423,1
108,3400505,4364124,963619,79265,1
109,3440045,4403671,963626,78842,1
110,3479349,4443184,963835,79330,1
111,3519174,4482754,963580,79084,1
112,3558696,4522241,963545,79070,1
113,3598288,4561752,963464,79725,1
114,3638510,4601218,962708,79165,1
115,3678218,4640678,962460,79443,1
116,3718210,4680193,961983,79329,1
117,3758033,4719731,961698,79085,1
118,3797589,4759244,961655,79049,1
119,3837133,4798818,961685,78844,1
120,3876412,4839018,962606,79712,1
121,3915932,4878757,962825,79356,1
122,3955557,4918697,963140,79477,1
123,3995102,4958604,963502,79385,1
124,4034588,4998145,963557,79295,1
125,4074350,5037729,963379,79009,1
126,4113783,5078200,964417,80104,1
127,4153423,5118880,965457,80249,1
128,4193003,5159096,966093,80603,1
129,4233398,5199998,966600,80797,1
130,4273308,5240740,967432,80619,1
131,4313193,5280852,967659,79945,1
132,4353034,5320682,967648,79380,1
133,4392591,5360569,967978,79345,1
134,4432058,5400427,968369,79442,1
135,4471650,5440680,969030,79712,1
136,4511117,5480596,969479,79470,1
137,4550680,5520425,969745,79148,1
138,4590007,5560314,970307,79518,1
139,4629644,5600201,970557,79265,1
140,4669030,5640090,971060,79351,1
141,4708499,5680075,971576,79621,1
142,4748143,5719931,971788,79474,1
143,4787768,5755681,967913,75784,1
144,4827810,5795186,967376,79188,1
145,4867500,5834676,967176,79506,1
146,4907523,5874089,966566,79331,1
147,4947448,5913533,966085,78974,1
148,4986985,5953054,966069,79265,1
149,5026736,5992574,965838,79595,1
150,5066884,6031868,964984,80194,1
151,6032938,6154947,122009,141771,2
152,6052728,6195003,142275,59692,2
153,6072385,6234921,162536,59580,2
154,6092057,6274828,182771,59610,2
155,6111809,6314731,202922,59622,2
156,6131537,6354642,223105,59631,2
157,6151265,6394556,243291,59639,2
158,6170999,6434462,263463,59631,2
159,6190732,6474373,283641,59633,2
160,6210463,6514739,304276,60086,2
161,6230191,6555490,325299,60472,2
162,6249921,6596240,346319,60475,2
163,6269654,6637070,367416,60557,2
164,6289388,6677814,388426,60465,2
165,6309118,6718558,409440,60465,2
166,6328847,6759312,430465,60479,2
167,6348580,6800078,451498,60490,2
168,6368313,6840832,472519,60480,2
169,6388049,6881582,493533,60467,2
170,6407776,6922183,514407,60326,2
171,6427511,6962909,535398,60443,2
172,6447238,7003542,556304,60354,2
173,6466968,7044197,577229,60377,2
174,6486699,7084886,598187,60412,2
175,6506430,7125638,619208,60472,2
176,6526159,7166314,640155,60396,2
177,6545889,7207027,661138,60437,2
178,6565622,7247947,682325,60638,2
179,6585349,7288645,703296,66375,2
180,6611043,7329382,718339,71871,2
181,6642190,7370096,727906,71556,2
182,6673044,7410813,737769,71592,2
183,6703929,7451530,747601,71796,2
184,6735019,7492246,757227,71769,2
185,6766084,7532962,766878,71742,2
186,6797122,7573683,776561,71695,2
187,6828108,7614422,786314,71780,2
188,6859160,7655170,796010,71725,2
189,6890149,7695917,805768,71779,2
190,6921192,7736660,815468,71579,2
191,6952040,7777406,825366,81259,2
192,6992566,7818209,825643,81452,2
193,7033227,7858985,825758,81470,2
194,7073939,7899699,825760,81409,2
195,7114647,7940417,825770,81518,2
196,7155459,7981130,825671,81288,2
197,7196046,8021871,825825,81729,2
198,7237046,8062645,825599,81415,2
199,7277697,8103346,825649,81555,2
200,7318561,8144053,825492,81267,2
201,7359132,8184743,825611,81397,2
202,7399849,8225411,825562,81346,2
203,7440538,8266093,825555,81471,2
204,7481338,8306750,825412,81284,2
205,7521978,8347391,825413,81309,2
206,7562657,8388044,825387,81547,2
207,7603563,8428713,825150,81426,2
208,7644331,8469333,825002,81150,2
209,7684875,8510019,825144,81515,2
210,7725716,8550701,824985,81271,2
211,7766317,8591351,825034,81562,2
212,7807242,8631989,824747,81573,2
213,7848190,8672697,824507,81310,2
214,7888805,8713401,824596,81388,2
215,7929500,8754077,824577,81432,2
216,7970266,8794755,824489,81356,2
217,8010955,8835411,824456,81317,2
218,8051628,8876068,824440,81447,2
219,8092430,8916780,824350,81183,2
220,8132913,8957420,824507,81577,2
221,8173863,8998089,824226,81294,2
222,8214501,9038787,824286,81297,2
223,8255112,9079496,824384,81406,2
224,8295821,9120196,824375,81284,2
225,8336416,9160908,824492,81160,2
226,8376876,9201645,824769,81107,2
227,8417258,9242450,825192,81220,2
228,8457686,9283158,825472,81136,2
229,8498127,9323877,825750,81498,2
230,8538917,9364589,825672,81285,2
231,8579513,9405305,825792,81250,2
232,8620076,9446029,825953,81607,2
233,8660969,9486738,825769,81346,2
234,8701616,9527454,825838,81314,2
235,8742224,9568170,825946,81498,2
236,8783018,9608889,825871,81441,2
237,8823753,9649659,825906,81523,2
238,8864518,9690436,825918,81806,2
239,8905559,9731181,825622,81708,2
240,8946534,9771932,825398,81243,2
241,8987036,9812682,825646,81581,2
242,9027880,9853404,825524,81275,2
243,9068444,9894115,825671,81570,2
244,9109314,9934865,825551,81208,2
245,9149783,9975588,825805,81577,2
246,9190649,10016287,825638,81486,2
247,9231447,10056261,824814,80853,2
248,9272339,10096110,823771,80515,2
249,9313016,10135940,822924,80395,2
250,9353593,10175766,822173,80633,2
251,9394412,10215620,821208,80477,2
252,9435047,10255545,820498,80707,2
253,9475840,10295398,819558,80520,2
254,9516518,10335251,818733,80620,2
255,9557297,10375106,817809,80293,2
256,9597748,10414983,817235,80886,2
257,9638769,10454873,816104,80615,2
258,9679506,10494766,815260,80595,2
259,9720219,10534657,814438,80639,2
260,9760977,10574538,813561,80487,2
261,9801595,10614431,812836,80730,2
262,9842442,10654290,811848,80618,2
263,9883210,10694145,810935,80592,2
264,9923959,10734020,810061,80379,2
265,9964474,10773875,809401,80768,2
266,10005398,10813743,808345,80403,2
267,10045944,10853672,807728,80733,2
268,10086760,10893575,806815,79867,2
