it,start,end,latency,execution,sol
1,0,98228,98228,112351,1
2,14166,137978,123812,49576,1
3,24008,179596,155588,51645,1
4,34044,217199,183155,47409,1
5,43855,262163,218308,54733,1
6,53629,295817,242188,43451,1
7,63432,334994,271562,49008,1
8,73267,374220,300953,49305,1
9,83354,413451,330097,49120,1
10,93249,452863,359614,49250,1
11,103090,492093,389003,49033,1
12,112898,531375,418477,49078,1
13,122699,570677,447978,49164,1
14,132566,610411,477845,49575,1
15,142411,649721,507310,49067,1
16,152175,689091,536916,49091,1
17,161900,728442,566542,49170,1
18,171724,767851,596127,49265,1
19,181586,806710,625124,48553,1
20,191284,845726,654442,48783,1
21,201057,884739,683682,48848,1
22,210897,923746,712849,48827,1
23,220722,962649,741927,54914,1
24,236741,1001630,764889,68473,1
25,266241,1040593,774352,68383,1
26,295668,1079421,783753,68065,1
27,324913,1118418,793505,68465,1
28,354388,1157459,803071,68556,1
29,383908,1196433,812525,68354,1
30,413294,1236238,822944,69135,1
31,442632,1275358,832726,68606,1
32,472126,1314583,842457,68748,1
33,501654,1353738,852084,68526,1
34,531030,1392648,861618,68331,1
35,560459,1431575,871116,68460,1
36,590000,1470516,880516,68840,1
37,619906,1509544,889638,68423,1
38,649308,1548549,899241,68550,1
39,678861,1587615,908754,68618,1
40,708420,1626710,918290,68594,1
41,737925,1665601,927676,68389,1
42,767429,1704567,937138,68293,1
43,796763,1743681,946918,78060,1
44,835717,1782664,946947,77934,1
45,874676,1822325,947649,78658,1
46,913681,1861328,947647,77941,1
47,952627,1900751,948124,78327,1
48,991539,1939904,948365,78119,1
49,1030513,1978861,948348,77873,1
50,1069437,2017886,948449,78005,1
51,1108425,2056846,948421,77921,1
52,1147394,2095848,948454,78034,1
53,1186434,2134747,948313,78569,1
54,1226112,2173751,947639,78231,1
55,1265346,2212653,947307,78095,1
56,1304547,2251604,947057,78127,1
57,1343731,2290534,946803,77812,1
58,1382621,2329441,946820,77830,1
59,1421551,2368481,946930,77952,1
60,1460471,2407662,947191,78198,1
61,1499496,2446942,947446,78326,1
62,1538550,2486377,947827,78418,1
63,1577541,2525485,947944,78192,1
64,1616633,2564650,948017,78080,1
65,1655554,2603670,948116,77974,1
66,1694515,2642482,947967,77907,1
67,1733617,2681693,948076,78208,1
68,1772622,2720684,948062,78557,1
69,1812197,2759698,947501,78161,1
70,1851351,2798649,947298,78276,1
71,1890684,2837580,946896,78113,1
72,1929874,2876578,946704,78008,1
73,1968892,2915433,946541,77773,1
74,2007818,2954378,946560,77870,1
75,2046751,2993377,946626,77996,1
76,2085756,3032916,947160,78535,1
77,2124759,3072125,947366,78142,1
78,2163700,3111240,947540,78009,1
79,2202601,3150475,947874,78201,1
80,2241575,3189405,947830,77829,1
81,2280491,3228346,947855,77864,1
82,2319420,3267289,947869,77926,1
83,2358411,3306195,947784,77844,1
84,2397357,3345172,947815,78498,1
85,2436886,3384166,947280,78303,1
86,2476203,3423039,946836,78183,1
87,2515521,3461967,946446,78033,1
88,2554634,3500894,946260,77835,1
89,2593550,3539934,946384,77998,1
90,2632516,3578797,946281,77935,1
91,2671596,3618343,946747,78552,1
92,2710610,3657493,946883,78192,1
93,2749660,3696799,947139,78269,1
94,2788630,3736014,947384,78148,1
95,2827571,3775064,947493,77943,1
96,2866471,3813913,947442,77759,1
97,2905388,3852903,947515,77969,1
98,2944375,3891961,947586,77990,1
99,2983315,3930923,947608,78463,1
100,3022823,3969986,947163,78270,1
101,3062038,4008907,946869,78155,1
102,3101279,4047957,946678,78251,1
103,3140488,4086830,946342,77763,1
104,3179385,4125826,946441,77829,1
105,3218226,4164844,946618,77995,1
106,3257210,4203983,946773,78093,1
107,3296172,4243243,947071,78235,1
108,3335155,4282470,947315,78171,1
109,3374107,4321603,947496,78057,1
110,3413039,4360915,947876,78209,1
111,3451943,4399770,947827,77742,1
112,3490836,4438777,947941,78006,1
113,3529841,4477807,947966,78016,1
114,3568835,4516834,947999,78372,1
