it,start,end,latency,execution,sol
184,3316316,3649834,333518,39189,1
185,3335891,3669405,333514,39249,1
186,3355576,3689136,333560,39233,1
187,3375083,3709094,334011,39524,1
188,3394657,3728919,334262,39461,1
189,3414301,3748886,334585,39547,1
190,3433888,3768829,334941,39530,1
191,3453481,3788340,334859,39165,1
192,3473143,3807958,334815,39074,1
193,3492605,3827520,334915,39125,1
194,3512176,3847034,334858,39146,1
195,3531814,3866551,334737,38985,1
196,3551289,3886123,334834,39265,1
197,3570989,3905716,334727,39201,1
198,3590602,3925319,334717,39201,1
199,3610205,3944915,334710,39421,1
200,3630037,3964576,334539,39308,1
201,3649692,3984064,334372,39041,1
202,3669253,4003727,334474,39373,1
203,3688968,4023252,334284,39445,1
204,3708894,4042818,333924,39435,1
205,3728768,4062535,333767,39643,1
206,3748700,4082191,333491,39537,1
207,3768589,4101693,333104,39062,1
208,3788157,4121341,333184,39178,1
209,3807693,4140969,333276,39304,1
210,3827376,4160611,333235,39153,1
211,3846895,4180184,333289,39103,1
212,3866433,4199754,333321,39075,1
213,3885944,4219838,333894,39686,1
214,3905553,4239572,334019,39285,1
215,3925110,4259189,334079,39243,1
216,3944741,4278979,334238,39467,1
217,3964426,4298686,334260,39180,1
218,3983906,4318516,334610,39521,1
219,4003605,4338261,334656,39284,1
220,4023150,4358181,335031,39409,1
221,4042647,4377887,335240,39344,1
222,4062292,4397573,335281,39365,1
223,4081977,4417254,335277,39216,1
224,4101520,4436766,335246,39120,1
225,4121135,4456509,335374,39413,1
226,4140810,4476112,335302,39165,1
227,4160378,4495775,335397,39200,1
228,4179923,4515263,335340,39158,1
229,4199598,4534830,335232,39628,1
230,4219667,4554395,334728,39304,1
231,4239412,4573937,334525,39148,1
232,4259024,4593603,334579,39410,1
233,4278775,4613448,334673,39579,1
234,4298516,4633030,334514,39366,1
235,4318304,4652653,334349,39364,1
236,4338050,4672301,334251,39602,1
237,4358010,4691973,333963,39426,1
238,4377771,4711676,333905,39347,1
239,4397419,4731247,333828,39207,1
240,4417062,4751074,334012,39379,1
241,4436622,4770717,334095,39369,1
242,4456356,4790098,333742,39020,1
243,4476002,4809933,333931,39452,1
244,4495627,4829527,333900,39040,1
245,4515081,4849077,333996,39077,1
246,4534616,4868653,334037,39133,1
247,4554181,4888497,334316,39428,1
248,4573773,4908239,334466,39433,1
249,4593468,4928011,334543,39527,1
250,4613231,4947740,334509,39318,1
251,4632826,4967597,334771,39499,1
252,4652472,4987275,334803,39303,1
253,4672103,5006701,334598,39109,1
254,4691795,5026249,334454,39186,1
255,4711441,5045922,334481,39355,1
256,4731130,5066007,334877,39826,1
257,4750877,5086161,335284,39821,1
258,4770550,5106056,335506,39309,1
259,4789973,5125757,335784,39421,1
260,4809698,5145511,335813,39438,1
261,4829388,5165317,335929,39337,1
262,4848925,5185256,336331,39491,1
263,4868482,5205057,336575,39666,1
264,4888353,5224833,336480,39510,1
265,4908092,5244620,336528,39490,1
266,4927802,5264512,336710,39637,1
267,4947554,5284174,336620,39480,1
268,4967380,5303793,336413,39310,1
269,4987078,5323620,336542,39291,1
270,5006549,5343283,336734,39232,1
271,5026125,5363078,336953,39351,1
272,5045750,5382340,336590,39330,1
273,5383118,5459903,76785,86343,1
274,5392690,5490068,97378,40276,1
275,5402824,5520259,117435,40472,1
276,5413133,5550590,137457,40174,1
277,5422981,5580617,157636,39801,1
278,5432759,5610636,177877,39878,1
279,5442621,5640644,198023,39922,1
280,5452539,5669152,216613,38386,1
281,5462422,5698522,236100,39231,1
282,5472286,5728444,256158,39778,1
283,5482147,5758441,276294,39858,1
284,5492012,5788444,296432,39862,1
285,5501875,5818215,316340,39632,1
286,5511739,5848019,336280,39664,1
287,5521604,5877759,356155,39598,1
288,5531468,5907372,375904,39473,1
289,5541333,5937012,395679,39497,1
290,5551196,5966436,415240,39278,1
291,5561056,5996039,434983,39411,1
292,5570870,6026081,455211,39912,1
293,5580745,6055797,475052,39435,1
294,5590471,6085502,495031,39527,1
295,5600299,6115203,514904,39554,1
296,5610156,6144886,534730,39534,1
297,5620012,6174571,554559,39435,1
298,5629768,6204143,574375,39429,1
299,5639631,6233854,594223,39470,1
300,5649396,6263387,613991,39303,1
301,5659171,6293086,633915,40926,1
302,5670404,6322702,652298,48746,1
303,5689543,6352114,662571,48574,1
304,5708713,6381662,672949,49516,1
305,5728687,6411288,682601,49332,1
306,5748400,6440777,692377,49618,1
307,5768536,6470523,701987,49650,1
308,5788446,6500033,711587,49210,1
309,5808152,6529533,721381,59235,1
310,5837904,6559056,721152,59209,1
311,5867618,6588794,721176,59379,1
312,5897267,6618385,721118,59246,1
313,5926930,6648173,721243,59300,1
314,5956453,6677689,721236,59041,1
315,5985986,6707586,721600,59762,1
316,6015859,6737310,721451,59446,1
317,6045589,6767106,721517,59497,1
318,6075298,6796805,721507,59584,1
319,6105190,6826213,721023,59157,1
320,6134946,6855663,720717,59067,1
321,6164571,6885415,720844,59336,1
322,6194162,6914815,720653,58886,1
323,6223656,6944486,720830,59266,1
324,6253259,6974208,720949,59365,1
325,6282910,7003737,720827,59083,1
326,6312472,7033313,720841,59096,1
327,6342000,7062981,720981,59294,1
328,6371633,7092743,721110,59219,1
329,6401098,7122281,721183,59296,1
330,6430863,7151981,721118,59252,1
331,6460423,7181427,721004,59097,1
332,6490082,7211232,721150,59184,1
333,6519469,7241007,721538,59350,1
334,6549060,7270617,721557,59234,1
335,6578692,7300624,721932,59527,1
336,6608223,7330516,722293,59585,1
337,6637924,7360179,722255,59431,1
338,6667700,7389715,722015,59293,1
339,6697465,7419144,721679,59241,1
340,6727284,7448757,721473,59371,1
341,6757049,7478359,721310,59199,1
342,6786653,7508134,721481,59282,1
343,6816168,7537730,721562,59151,1
344,6845730,7567428,721698,59191,1
345,6875230,7597063,721833,59200,1
346,6904803,7626641,721838,59171,1
347,6934404,7656343,721939,59273,1
348,6963983,7685767,721784,59155,1
349,6993722,7715354,721632,59108,1
350,7023249,7745069,721820,59137,1
351,7052679,7774491,721812,59213,1
352,7082478,7804088,721610,59308,1
353,7112195,7834149,721954,59718,1
354,7141859,7863794,721935,59128,1
355,7171349,7893576,722227,59181,1
356,7200755,7923270,722515,59766,1
357,7230834,7953116,722282,59479,1
358,7260475,7982801,722326,59532,1
359,7290330,8012301,721971,59519,1
360,7320357,8041606,721249,59073,1
361,7350133,8071145,721012,59114,1
362,7379714,8100840,721126,59118,1
363,7409144,8130358,721214,59054,1
364,7438688,8159718,721030,58869,1
365,7468205,8189291,721086,59197,1
366,7497834,8218815,720981,59196,1
367,7527514,8248363,720849,59271,1
368,7557245,8278023,720778,59469,1
369,7587060,8307642,720582,59106,1
370,7616555,8337361,720806,59262,1
371,7646105,8366849,720744,59375,1
372,7675999,8396491,720492,58880,1
373,7705245,8426630,721385,59787,1
374,7734900,8456312,721412,59357,1
375,7764583,8485993,721410,59012,1
376,7793922,8515762,721840,59861,1
377,7824022,8545531,721509,59482,1
378,7853742,8575250,721508,59611,1
379,7883642,8604760,721118,59110,1
380,7913249,8634348,721099,59313,1
381,7942981,8664077,721096,59414,1
382,7972673,8693495,720822,59036,1
383,8002297,8723211,720914,59229,1
384,8031817,8752665,720848,58795,1
385,8061166,8782281,721115,59115,1
386,8090671,8811764,721093,59045,1
387,8120241,8841280,721039,59124,1
388,8149855,8870979,721124,59024,1
389,8179187,8900586,721399,59077,1
390,8208664,8930185,721521,59356,1
391,8238428,8959765,721337,58927,1
392,8267782,8989377,721595,59404,1
393,8297582,9019034,721452,59211,1
394,8327144,9048828,721684,59435,1
395,8356794,9078449,721655,59226,1
396,8386405,9108246,721841,59811,1
397,8416427,9138118,721691,59662,1
398,8446225,9167937,721712,59503,1
399,8475917,9197550,721633,59281,1
400,8505593,9227087,721494,59442,1
401,8535506,9256772,721266,59242,1
402,8565071,9286389,721318,59245,1
403,8594707,9316059,721352,59173,1
404,8624218,9345653,721435,59175,1
405,8653805,9375119,721314,59163,1
406,8683509,9404911,721402,59185,1
407,8712909,9434353,721444,59270,1
408,8742745,9463975,721230,59045,1
409,8772174,9493641,721467,59364,1
410,8801880,9523025,721145,58890,1
411,8831393,9552729,721336,59065,1
412,8860761,9582269,721508,59291,1
413,8890519,9611669,721150,58930,1
414,8920057,9641974,721917,59859,1
415,8949619,9671507,721888,59233,1
416,8979326,9701391,722065,59330,1
417,9008779,9731126,722347,59583,1
418,9038635,9760803,722168,59301,1
419,9068267,9790520,722253,59601,1
420,9098158,9819967,721809,59155,1
421,9127873,9849408,721535,59412,1
422,9157851,9879083,721232,59181,1
423,9187364,9908604,721240,59092,1
424,9216943,9938217,721274,59299,1
425,9246637,9967738,721101,59123,1
426,9276247,9997359,721112,59287,1
427,9305919,10026852,720933,59024,1
428,9335458,10056514,721056,59268,1
429,9365072,10086041,720969,59107,1
430,9394660,10115444,720784,59179,1
431,9424444,10145087,720643,59048,1
432,9453857,10174789,720932,59363,1
433,9483526,10204418,720892,59213,1
434,9513118,10234426,721308,59453,1
435,9542570,10264195,721625,59342,1
436,9572150,10294124,721974,59428,1
437,9601657,10323744,722087,59692,1
438,9631738,10353545,721807,59454,1
439,9661399,10383042,721643,59355,1
440,9691265,10412633,721368,59323,1
441,9721004,10442106,721102,59111,1
442,9750649,10474123,723474,61728,1
443,9780368,10502388,722020,57820,1
444,9809941,10532443,722502,59524,1
445,9839417,10562367,722950,59367,1
446,9868867,10592188,723321,59536,1
447,9898588,10622044,723456,59345,1
448,9928084,10651940,723856,59445,1
449,9957639,10681769,724130,59447,1
450,9987263,10711421,724158,59092,1
451,10016709,10741195,724486,59227,1
452,10046168,10771063,724895,59614,1
453,10075919,10800826,724907,59177,1
454,10105341,10831078,725737,59870,1
455,10134965,10860842,725877,59343,1
456,10164551,10890530,725979,59323,1
457,10194193,10920373,726180,59924,1
458,10224280,10950086,725806,59421,1
459,10253994,10979543,725549,59514,1
460,10284057,11008862,724805,59007,1
461,10313753,11038252,724499,58984,1
462,10343375,11067660,724285,59133,1
463,10373119,11097139,724020,58844,1
464,10402492,11126571,724079,58958,1
465,10432026,11156072,724046,59547,1
466,10462097,11185333,723236,59256,1
467,11185860,11230422,44562,54062,1
468,11195364,11250436,55072,29984,1
469,11205352,11270372,65020,29791,1
470,11215215,11290415,75200,29867,1
471,11225045,11310235,85190,29776,1
472,11235007,11330059,95052,29694,1
473,11244883,11349986,105103,29685,1
474,11254646,11369915,115269,29761,1
