iteration,start,end,latency,execution
203,8461090,8581016,119926,281150
204,8501783,8623712,121929,335893
205,8543790,8665354,121564,260695
206,8586127,8707439,121312,278401
207,8626807,8749734,122927,317313
208,8669020,8791865,122845,291272
209,8711355,8833729,122374,311875
210,8753846,8874974,121128,271062
211,8796176,8917482,121306,292228
212,8839010,8959398,120388,303604
213,8879622,9001496,121874,312785
214,8922045,9042679,120634,269179
215,8964615,9084967,120352,283049
216,9005378,9128770,123392,341125
217,9048134,9170176,122042,259109
218,9090384,9211453,121069,275758
219,9130986,9253632,122646,305860
220,9172571,9295699,123128,306370
221,9215235,9338079,122844,313935
222,9257729,9380926,123197,281698
223,9300378,9422423,122045,289303
224,9346037,9464557,118520,280270
225,9384246,9507137,122891,334226
226,9426990,9548735,121745,262778
227,9469427,9590889,121462,286367
228,9510257,9634749,124492,339170
229,9552908,9676010,123102,260838
230,9595548,9717621,122073,280197
231,9636223,9760483,124260,316147
232,9678192,9802813,124621,297574
233,9720828,9845462,124634,311293
234,9763409,9887171,123762,267417
235,9805926,9930006,124080,294516
236,9848560,9972089,123529,309193
237,9889887,10021189,131302,346203
238,9932779,10062314,129535,241407
239,9975213,10103323,128110,281238
240,10015949,10144644,128695,300083
241,10058840,10186622,127782,290472
242,10099859,10227887,128028,301194
243,10142704,10270330,127626,285977
244,10183644,10312369,128725,315349
245,10226545,10354262,127717,310190
246,10269224,10395619,126395,269213
247,10311938,10444205,132267,310956
248,10356814,10487249,130435,300936
249,10396009,10528768,132759,297936
250,10438848,10570297,131449,284018
251,10481474,10612287,130813,288504
252,10522542,10653475,130933,330867
253,10565507,10694703,129196,264300
254,10608070,10736927,128857,284760
255,10649229,10779013,129784,331170
256,10692118,10821347,129229,284912
257,10734764,10863978,129214,310395
258,10777447,10905554,128107,269971
259,10820195,10952385,132190,312524
260,10865467,10994764,129297,298650
261,10904328,11035718,131390,297117
262,10947126,11076995,129869,282181
263,10989605,11119353,129748,287307
264,11030673,11161226,130553,324051
265,11073538,11202544,129006,276268
266,11116317,11244661,128344,281353
267,11157322,11287007,129685,325690
268,11200248,11328927,128679,291945
269,11243014,11372938,129924,330821
270,11285589,11414164,128575,254041
271,11328317,11466402,138085,300049
272,11371018,11509329,138311,311480
273,11412048,11550526,138478,297311
274,11454785,11591426,136641,281916
275,11497448,11634171,136723,283646
276,11538407,11675685,137278,322283
277,11580657,11717597,136940,275600
278,11623211,11759104,135893,281930
279,11664164,11801693,137529,294072
280,11706954,11843765,136811,324077
281,11749542,11884786,135244,323166
282,11792367,11925899,133532,254493
283,11834992,11971626,136634,296596
284,11877748,12013408,135660,309712
285,11918625,12054558,135933,293840
286,11961294,12095658,134364,283190
287,12004072,12138138,134066,288358
288,12045148,12179803,134655,323616
289,12088004,12221190,133186,275174
290,12130552,12263263,132711,285010
291,12171607,12310364,138757,325331
292,12214273,12352833,138560,292942
293,12256982,12394575,137593,299185
