iteration,actor,exectime
251,Z4,120168
252,D,120175
252,Z3,120175
252,Z4,120163
253,D,120271
253,Z3,120271
253,Z4,120216
254,D,120155
254,Z3,120175
254,Z4,120175
255,D,120282
255,Z3,120282
255,Z4,120213
256,D,120251
256,Z3,120251
256,Z4,120209
257,D,120325
257,Z3,120324
257,Z4,120221
258,D,120097
258,Z3,120102
258,Z4,120159
259,D,120290
259,Z3,120290
259,Z4,120214
260,D,120292
260,Z3,120292
260,Z4,120219
261,D,120251
261,Z3,120251
261,Z4,120233
262,D,120110
262,Z3,120119
262,Z4,120163
263,D,120277
263,Z3,120277
263,Z4,120214
264,D,120127
264,Z3,120127
264,Z4,120107
265,D,120181
265,Z3,120181
265,Z4,120111
266,D,120096
266,Z3,120103
266,Z4,120148
267,D,120183
267,Z3,120183
267,Z4,120099
268,D,120171
268,Z3,120171
268,Z4,120164
269,D,120442
269,Z3,120442
269,Z4,120187
270,D,120177
270,Z3,120177
270,Z4,120109
271,D,120140
271,Z3,120116
271,Z4,120099
272,D,120145
272,Z3,120145
272,Z4,120102
273,D,120145
273,Z3,120140
273,Z4,120308
274,D,120377
274,Z3,120172
274,Z4,120207
275,D,120149
275,Z3,120146
275,Z4,120098
276,D,120166
276,Z3,120166
276,Z4,120113
277,D,120157
277,Z3,120156
277,Z4,120147
278,D,120254
278,Z3,120258
278,Z4,120214
279,D,120279
279,Z3,120279
279,Z4,120209
280,D,120158
280,Z3,120158
280,Z4,120146
281,D,120156
281,Z3,120354
281,Z4,120353
