iteration,actor,exectime
330,D1,50315
330,D2,14156
331,D1,50460
331,D2,14268
332,D1,50244
332,D2,14307
333,D1,50355
333,D2,14293
334,D1,50330
334,D2,15325
335,D1,50317
335,D2,15142
336,D1,50312
336,D2,15139
337,D1,50274
337,D2,15331
338,D1,50462
338,D2,15360
339,D1,50340
339,D2,16267
340,D1,50191
340,D2,16244
341,D1,50318
341,D2,16319
342,D1,50192
342,D2,16440
343,D1,50409
343,D2,16462
344,D1,50390
344,D2,17202
345,D1,50388
345,D2,17390
346,D1,50159
346,D2,17329
347,D1,50308
347,D2,17204
348,D1,50369
348,D2,17082
349,D1,50348
349,D2,18155
350,D1,50412
350,D2,18285
351,D1,50330
351,D2,18406
352,D1,50307
352,D2,18306
353,D1,50414
353,D2,18225
354,D1,50354
354,D2,19271
355,D1,50318
355,D2,19436
356,D1,50310
356,D2,19195
357,D1,50419
357,D2,19234
358,D1,50176
358,D2,19138
359,D1,50393
359,D2,20360
360,D1,50291
360,D2,20360
361,D1,50484
361,D2,20395
362,D1,50342
362,D2,20186
363,D1,50431
363,D2,20212
364,D1,50353
364,D2,21282
365,D1,50510
365,D2,21255
366,D1,50475
366,D2,21225
367,D1,50311
367,D2,21399
368,D1,50348
368,D2,21421
369,D1,50288
369,D2,22167
370,D1,50248
370,D2,22312
371,D1,50306
371,D2,22200
372,D1,50364
372,D2,22212
373,D1,50306
373,D2,22124
374,D1,50479
374,D2,23208
375,D1,50334
375,D2,23361
376,D1,50240
376,D2,23190
377,D1,50342
377,D2,23271
378,D1,50355
378,D2,23353
379,D1,50418
379,D2,24353
380,D1,50300
380,D2,24145
381,D1,50332
381,D2,24323
382,D1,50330
382,D2,24184
383,D1,50412
383,D2,24392
384,D1,50217
384,D2,25331
385,D1,50270
385,D2,25100
386,D1,50524
386,D2,25267
387,D1,50307
387,D2,25163
388,D1,50301
388,D2,25176
389,D1,50307
389,D2,26179
390,D1,50297
390,D2,26169
391,D1,50311
391,D2,26273
392,D1,50318
392,D2,26323
393,D1,50461
393,D2,26215
394,D1,50313
394,D2,27289
395,D1,50522
395,D2,27218
396,D1,50209
396,D2,27208
397,D1,50290
397,D2,27160
398,D1,50356
398,D2,27175
399,D1,50304
399,D2,28153
400,D1,50383
400,D2,28232
401,D1,50366
401,D2,28276
402,D1,50342
402,D2,28215
403,D1,50161
403,D2,28303
404,D1,50198
404,D2,29264
405,D1,50447
405,D2,29175
406,D1,50293
406,D2,29261
407,D1,50521
407,D2,29254
408,D1,50353
408,D2,29202
409,D1,50267
409,D2,30291
410,D1,50294
410,D2,30322
411,D1,50300
411,D2,30263
412,D1,50364
412,D2,30310
413,D1,50266
413,D2,30243
414,D1,50288
414,D2,31199
415,D1,50291
415,D2,31154
416,D1,50318
416,D2,31150
417,D1,50419
417,D2,31171
