iteration,start,end,latency,execution
203,8506053,8591442,85389,85588
204,8548625,8632747,84122,84082
205,8591449,8675594,84145,84081
206,8632761,8717796,85035,84971
207,8675609,8759017,83408,83736
208,8718158,8800205,82047,82163
209,8759163,8842067,82904,82837
210,8800216,8884565,84349,85041
211,8842835,8926623,83788,84471
212,8885325,8970834,85509,86849
213,8928052,9013009,84957,84709
214,8970662,9055230,84568,84750
215,9013267,9097433,84166,84694
216,9055832,9139744,83912,84820
217,9098418,9182680,84262,85362
218,9140919,9224684,83765,84485
219,9183477,9266915,83438,84691
220,9226015,9309013,82998,84572
221,9268565,9351097,82532,84581
222,9311138,9393339,82201,84635
223,9353595,9435381,81786,84717
224,9396346,9482123,85777,89242
225,9438936,9523620,84684,84144
226,9481630,9565848,84218,83159
227,9522638,9607984,85346,84887
228,9565465,9650858,85393,85421
229,9608088,9692309,84221,84194
230,9650865,9734557,83692,83590
231,9692285,9776752,84467,84667
232,9734832,9818972,84140,84727
233,9777414,9860816,83402,84351
234,9819997,9902841,82844,84466
235,9862503,9944065,81562,83705
236,9905018,9986257,81239,83011
237,9945932,10027647,81715,83044
238,9987623,10069955,82332,83265
239,10028655,10112750,84095,85248
240,10071184,10154019,82835,83689
241,10113652,10196434,82782,83305
242,10154614,10239349,84735,85236
243,10197002,10286105,89103,89268
244,10239589,10327505,87916,84147
245,10282368,10369710,87342,83222
246,10323459,10410489,87030,83555
247,10366288,10452049,85761,84359
248,10409119,10494186,85067,83393
249,10450454,10536521,86067,84969
250,10493151,10579154,86003,85242
251,10535840,10620739,84899,84281
252,10578571,10662802,84231,83170
253,10619756,10705168,85412,84917
254,10662384,10748103,85719,85551
255,10705075,10790514,85439,85227
256,10747968,10832775,84807,84871
257,10790652,10875691,85039,85408
258,10833221,10917865,84644,84672
259,10875795,10959937,84142,84592
260,10918390,11004814,86424,87436
261,10961037,11046082,85045,83915
262,11003718,11088499,84781,83632
263,11045013,11130519,85506,84660
264,11087732,11172605,84873,84802
265,11130526,11213873,83347,83776
266,11173067,11256231,83164,83390
267,11214175,11299074,84899,85330
268,11256738,11340431,83693,83830
269,11299242,11382642,83400,83332
270,11340442,11428141,87699,88057
271,11383088,11469593,86505,84230
272,11425895,11511451,85556,82960
273,11467070,11552979,85909,84136
274,11509710,11595182,85472,83399
275,11550985,11637561,86576,85117
276,11593827,11680120,86293,85179
277,11636526,11721743,85217,84402
278,11679340,11763808,84468,83231
279,11720586,11805989,85403,84910
280,11763392,11847150,83758,83731
281,11805996,11889287,83291,83223
282,11847160,11930596,83436,83802
283,11889691,11972939,83248,83463
284,11930886,12017470,86584,87100
285,11973545,12058886,85341,84036
286,12016199,12101167,84968,83432
287,12057430,12143081,85651,84544
288,12100140,12185185,85045,84616
289,12142716,12226450,83734,83750
290,12185232,12268787,83555,83260
291,12226233,12310839,84606,84519
292,12268762,12353226,84464,84868
293,12311306,12400162,88856,89456
294,12353898,12444077,90179,86559
295,12396617,12486477,89860,84964
296,12439255,12529126,89871,85331
297,12482011,12570778,88767,84354
298,12524748,12612836,88088,83293
299,12566058,12655012,88954,84745
300,12608702,12697157,88455,84612
301,12651244,12739535,88291,85127
302,12694067,12786472,92405,89585
303,12736788,12828494,91706,84765
304,12779604,12870875,91271,84863
305,12822161,12911367,89206,83213
306,12864943,12952868,87925,84092
307,12907566,12995144,87578,83415
308,12948779,13037157,88378,84723
309,12991563,13078446,86883,84106
310,13034412,13120436,86024,83110
311,13075607,13161834,86227,83969
312,13118210,13203790,85580,82970
313,13159305,13245044,85739,83805
314,13201889,13287487,85598,83602
315,13243128,13329514,86386,84631
316,13285832,13371791,85959,84854
317,13328488,13418830,90342,89527
318,13371055,13462876,91821,86817
319,13413898,13503762,89864,83518
320,13456593,13545029,88436,84019
321,13499378,13587111,87733,83102
322,13540460,13628489,88029,84127
323,13583238,13670782,87544,83259
324,13624295,13713431,89136,85332
325,13667055,13754913,87858,84278
326,13709883,13796759,86876,83062
327,13751174,13838399,87225,84415
328,13793980,13880475,86495,82984
329,13834962,13926482,91520,88786
330,13877842,13971767,93925,87894
331,13920525,14013927,93402,84899
332,13963340,14054914,91574,83593
333,14006008,14096147,90139,83786
334,14048608,14138409,89801,83400
335,14089841,14179114,89273,83328
336,14132517,14220713,88196,84301
337,14175251,14262763,87512,83184
338,14216460,14311959,95499,91989
339,14259329,14352938,93609,83467
340,14301880,14394136,92256,83848
341,14344575,14436468,91893,83238
342,14385540,14481461,95921,87608
343,14428231,14523815,95584,84841
344,14470794,14565760,94966,84635
345,14513648,14613821,100173,90598
346,14556375,14655913,99538,84698
347,14599071,14697146,98075,83942
348,14641818,14739504,97686,83278
349,14682823,14781728,98905,84632
350,14725307,14822727,97420,83537
351,14767908,14863757,95849,83574
352,14810498,14906127,95629,83279
353,14851484,14948035,96551,84505
354,14894157,14990449,96292,85037
355,14936853,15032646,95793,84811
356,14979541,15073650,94109,83450
357,15022049,15114797,92748,83798
358,15064748,15157227,92479,83681
359,15106072,15198020,91948,83431
360,15148772,15239461,90689,84055
