iteration,start,end,latency,execution
203,8477440,8593886,116446,282120
204,8518202,8636088,117886,311964
205,8560710,8677427,116717,267191
206,8601167,8719677,118510,298716
207,8642476,8761737,119261,313065
208,8684974,8803615,118641,299615
209,8727282,8846095,118813,284540
210,8769642,8888629,118987,298443
211,8811966,8930236,118270,283496
212,8854222,8972397,118175,281422
213,8895139,9016380,121241,342452
214,8937609,9057529,119920,258445
215,8979960,9100036,120076,281167
216,9020674,9142071,121397,312992
217,9063182,9184458,121276,310649
218,9105521,9226402,120881,290602
219,9147882,9268502,120620,296238
220,9190181,9310494,120313,299947
221,9232517,9353066,120549,285677
222,9274839,9395530,120691,295275
223,9317154,9437198,120044,287300
224,9359448,9479442,119994,277646
225,9400214,9522977,122763,341862
226,9442700,9564623,121923,256831
227,9485019,9606591,121572,284816
228,9525946,9649056,123110,312023
229,9568390,9691106,122716,313894
230,9610904,9733402,122498,289918
231,9653219,9776167,122948,297109
232,9695498,9818585,123087,300513
233,9738065,9860692,122627,283605
234,9780388,9902786,122398,298135
235,9822852,9943893,121041,284496
236,9865337,9985964,120627,277308
237,9906035,10033804,127769,365904
238,9948049,10075127,127078,236883
239,9990539,10116032,125493,282217
240,10031357,10157168,125811,295424
241,10074385,10198826,124441,287439
242,10115050,10240840,125790,296657
243,10156302,10284080,127778,342057
244,10199076,10326111,127035,280313
245,10241886,10368480,126594,290501
246,10284687,10411010,126323,296553
247,10327142,10452556,125414,285692
248,10370248,10494827,124579,280842
249,10411032,10537469,126437,340632
250,10454013,10579116,125103,265507
251,10496803,10621130,124327,284471
252,10537807,10663545,125738,318274
253,10580765,10706298,125533,320132
254,10623517,10747798,124281,255445
255,10666266,10789981,123715,303033
256,10707422,10832357,124935,315850
257,10750331,10875270,124939,288418
258,10792874,10918023,125149,297990
259,10835375,10959356,123981,283329
260,10878024,11002047,124023,283711
261,10919074,11045441,126367,341575
262,10962090,11086962,124872,262462
263,11004846,11129101,124255,286304
264,11045872,11171414,125542,318451
265,11088885,11212138,123253,282409
266,11131532,11254714,123182,286545
267,11172478,11295796,123318,287356
268,11214415,11337939,123524,292006
269,11255746,11380162,124416,316870
270,11298404,11422976,124572,300441
271,11340956,11464311,123355,283289
272,11383496,11506518,123022,279809
273,11424287,11557398,133111,371848
274,11467039,11599784,132745,253671
275,11509684,11641752,132068,301570
276,11552401,11684117,131716,294666
277,11594980,11727069,132089,339251
278,11637700,11769422,131722,276193
279,11680564,11811419,130855,290211
280,11723197,11853467,130270,297339
281,11766031,11895869,129838,292059
282,11808734,11937794,129060,298550
283,11851385,11979758,128373,300550
284,11894083,12021093,127010,279014
285,11936779,12062112,125333,295497
286,11977734,12103626,125892,279474
287,12020409,12145436,125027,294959
288,12061667,12186901,125234,300971
289,12104604,12229057,124453,298956
290,12145733,12275098,129365,325731
291,12188471,12317396,128925,293112
292,12231051,12359441,128390,293909
293,12273753,12401826,128073,292287
294,12316351,12444443,128092,299599
295,12359211,12485944,126733,282715
296,12401812,12528075,126263,282934
297,12442997,12577145,134148,365962
298,12485978,12619406,133428,260119
299,12528830,12661448,132618,300645
300,12571437,12703411,131974,296591
301,12614153,12751019,136866,347069
302,12656909,12792674,135765,271264
303,12699526,12834239,134713,259023
304,12742312,12875028,132716,289264
305,12783324,12916581,133257,302773
306,12826266,12957344,131078,282409
307,12867321,12998691,131370,305018
308,12910275,13040802,130527,281049
309,12951260,13087658,136398,369571
310,12994125,13130082,135957,255953
311,13036935,13171989,135054,301207
312,13079592,13214380,134788,295644
313,13122387,13259495,137108,344300
314,13165156,13301842,136686,264964
315,13207690,13343859,136169,292941
316,13250245,13386140,135895,298046
317,13293047,13428061,135014,290783
318,13335608,13470760,135152,298985
319,13378362,13512091,133729,299635
320,13421077,13553669,132592,283221
321,13463718,13594848,131130,292164
322,13504693,13636675,131982,279742
323,13546016,13678014,131998,319681
324,13588851,13719264,130413,280343
325,13631469,13761439,129970,283138
326,13672475,13805386,132911,337208
327,13715364,13847778,132414,290391
328,13758119,13889792,131673,296257
329,13800764,13932108,131344,291601
330,13843500,13973980,130480,300912
331,13886227,14015207,128980,283816
332,13928947,14057454,128507,281096
333,13969980,14108084,138104,371437
334,14013024,14149870,136846,252541
335,14055681,14192766,137085,271163
336,14096637,14233992,137355,315614
337,14139264,14275055,135791,275214
338,14182020,14317345,135325,300298
339,14223194,14359449,136255,317105
340,14265854,14401793,135939,296433
341,14308474,14444020,135546,291375
342,14350902,14484974,134072,297677
343,14393743,14526046,132303,286664
344,14436392,14568429,132037,280606
345,14477523,14615323,137800,361160
346,14520395,14657253,136858,261159
347,14562964,14700032,137068,297234
348,14605504,14741691,136187,293367
349,14647990,14783052,135062,274598
350,14690419,14825032,134613,300746
351,14731553,14867597,136044,317720
352,14774196,14909280,135084,292888
353,14816540,14950994,134454,278194
354,14858977,14992603,133626,281321
355,14899784,15033856,134072,303769
356,14942373,15076023,133650,279474
357,14983294,15122040,138746,356839
358,15025575,15164410,138835,263521
359,15068069,15206391,138322,294295
360,15110578,15247639,137061,294918
361,15153059,15288554,135495,284402
362,15195512,15331251,135739,286911
363,15236606,15372344,135738,316933
364,15278897,15413356,134459,273439
365,15321390,15454706,133316,283720
366,15362472,15495531,133059,301279
367,15405065,15537614,132549,282657
368,15446063,15578940,132877,309373
369,15487994,15620143,132149,296075
370,15530558,15662648,132090,275092
371,15571541,15703692,132151,318006
372,15614330,15744735,130405,279908
373,15656813,15787108,130295,283059
374,15697751,15833148,135397,333997
375,15740413,15873923,133510,288907
376,15782752,15915306,132554,274784
377,15825086,15957551,132465,284840
378,15866321,15998545,132224,313592
379,15908975,16039775,130800,284598
380,15951418,16082124,130706,283931
381,15992534,16134325,141791,364756
382,16034980,16177109,142129,269498
383,16077518,16219502,141984,289690
384,16119871,16261163,141292,291145
385,16162319,16302951,140632,284678
386,16204845,16345730,140885,290563
387,16245859,16388030,142171,317793
388,16288453,16429019,140566,292333
389,16330877,16471084,140207,272401
390,16371661,16513341,141680,299146
391,16413600,16555234,141634,303720
392,16456029,16597680,141651,294425
393,16498520,16639962,141442,334876
394,16541037,16681251,140214,267874
395,16583479,16723748,140269,282169
396,16624417,16765292,140875,295858
397,16666857,16806421,139564,285730
398,16709384,16848881,139497,283609
399,16750208,16891673,141465,318967
400,16792877,16934254,141377,293639
401,16835187,16976197,141010,291705
402,16877704,17017163,139459,295791
403,16920197,17058290,138093,288038
404,16962554,17100809,138255,283579
405,17003544,17147705,144161,352449
406,17046178,17189786,143608,273852
407,17088701,17232101,143400,294077
408,17131131,17272989,141858,290354
409,17173621,17314562,140941,288622
410,17216262,17356268,140006,286460
411,17257076,17398695,141619,307907
412,17299515,17439771,140256,293122
413,17342000,17482357,140357,279907
414,17382819,17523945,141126,301256
415,17425473,17565455,139982,291338
416,17468064,17607428,139364,285478
417,17509073,17651685,142612,343327
418,17551751,17693716,141965,272256
419,17594240,17736092,141852,288616
420,17635321,17777870,142549,301804
421,17677964,17820427,142463,289645
422,17720446,17863256,142810,294894
423,17761404,17905277,143873,302584
424,17803876,17947796,143920,296070
425,17846332,17990589,144257,294944
426,17888668,18033247,144579,296959
427,17931026,18074890,143864,297066
428,17973486,18116617,143131,290811
429,18015881,18158421,142540,294421
430,18056816,18203028,146212,297810
431,18099319,18246774,147455,292397
432,18140328,18289636,149308,304412
433,18182804,18333194,150390,300088
434,18225305,18377223,151918,305792
435,18267869,18420081,152212,297137
436,18310302,18462322,152020,297590
437,18352720,18507275,154555,292964
438,18395129,18549599,154470,294034
439,18435999,18593814,157815,304034
440,18478636,18638523,159887,292888
441,18519378,18681106,161728,325553
442,18562007,18727266,165259,283180
443,18604335,18770697,166362,292641
444,18645091,18814111,169020,306956
445,18687560,18859388,171828,299485
446,18729896,18904177,174281,295520
447,18770774,18947708,176934,309371
448,18813269,18992839,179570,302596
449,18855682,19035700,180018,299752
450,18898222,19082068,183846,306928
451,18940701,19127699,186998,303627
452,18983047,19172302,189255,296429
453,19024156,19218370,194214,329717
454,19066699,19264574,197875,286430
455,19109179,19309425,200246,296475
456,19150021,19354495,204474,311618
457,19192606,19400968,208362,306966
458,19234997,19445674,210677,308870
459,19277327,19490714,213387,302691
460,19319672,19535925,216253,306412
461,19361972,19582973,221001,308024
462,19404500,19630016,225516,309401
463,19446938,19674993,228055,306032
464,19489689,19722128,232439,300341
465,19530760,19769320,238560,333571
466,19573507,19814333,240826,286829
467,19615918,19861585,245667,302036
468,19656829,19908292,251463,315572
469,19699572,19954312,254740,301475
470,19742105,20001944,259839,308824
471,19783184,20048614,265430,318222
472,19825540,20095510,269970,311126
473,19868213,20153113,284900,319598
474,19910547,20194548,284001,306585
475,19953231,20237945,284714,305328
476,19995787,20285983,290196,304327
477,20036875,20331816,294941,333370
478,20079454,20380035,300581,291394
479,20121829,20428192,306363,302282
480,20162540,20476999,314459,312460
481,20203728,20524786,321058,316799
482,20246431,20572303,325872,306995
483,20287397,20621112,333715,324037
484,20330178,20669993,339815,314217
485,20372915,20717081,344166,313237
486,20415539,20766599,351060,317404
487,20458261,20815436,357175,313843
488,20501120,20864124,363004,306566
489,20542096,20912248,370152,333417
490,20584419,20961556,377137,301245
491,20626784,21011228,384444,309332
492,20667774,21059241,391467,320774
